Date/Time,Electricity:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Water:Facility [m3](Monthly)
January,1.03519E+11,1.46725E+11,22.01292125
February,88619975445,1.46607E+11,20.9646869
March,88547566934,1.15565E+11,24.10938993
April,67556679071,65131317042,19.91645256
May,78568767750,45893251076,18.83159918
June,75019100607,13311359272,17.61846383
July,72418862477,9754529066,16.81762456
August,79648017173,16091201087,18.41930309
September,77151736439,31463820774,21.77302167
October,93105175332,67703229936,23.06448692
November,1.03111E+11,1.22704E+11,23.06115559
December,98557003191,1.30897E+11,19.91645256
