Date/Time,DistrictHeating:Facility [J](Hourly)
 01/01  01:00:00,1.3273496249653176e-15
 01/01  02:00:00,1.3064011194424085e-15
 01/01  03:00:00,1.2654295293286587e-15
 01/01  04:00:00,1.1192697746086735e-15
 01/01  05:00:00,255275803.75671387
 01/01  06:00:00,272826377.1057129
 01/01  07:00:00,465547666.1682129
 01/01  08:00:00,983915647.8881836
 01/01  09:00:00,640311863.7084961
 01/01  10:00:00,631631607.0556641
 01/01  11:00:00,579973246.7651367
 01/01  12:00:00,573121334.8388672
 01/01  13:00:00,576681811.5234375
 01/01  14:00:00,564817456.0546875
 01/01  15:00:00,564756838.9892578
 01/01  16:00:00,567388462.8295898
 01/01  17:00:00,566172715.7592773
 01/01  18:00:00,532344259.6435547
 01/01  19:00:00,8646281.365725422
 01/01  20:00:00,3.603242783608097e-07
 01/01  21:00:00,1.6708116078820707e-15
 01/01  22:00:00,1.6106571344125903e-15
 01/01  23:00:00,1.7585506362704731e-15
 01/01  24:00:00,1.7201852785045052e-15
 01/02  01:00:00,1.706701300508579e-15
 01/02  02:00:00,1.5920798311748052e-15
 01/02  03:00:00,1.4853737290551466e-15
 01/02  04:00:00,1.3714966313958942e-15
 01/02  05:00:00,254216944.8852539
 01/02  06:00:00,291294422.1496582
 01/02  07:00:00,466649615.4785156
 01/02  08:00:00,959252288.8183594
 01/02  09:00:00,658682940.6738281
 01/02  10:00:00,636148704.5288086
 01/02  11:00:00,618627310.1806641
 01/02  12:00:00,604838836.6699219
 01/02  13:00:00,577270994.5678711
 01/02  14:00:00,554643827.8198242
 01/02  15:00:00,556565968.3227539
 01/02  16:00:00,545308126.8310547
 01/02  17:00:00,554028250.1220703
 01/02  18:00:00,559785731.5063477
 01/02  19:00:00,9606261.389934303
 01/02  20:00:00,3.4004605263841747e-07
 01/02  21:00:00,1.4593070207728717e-15
 01/02  22:00:00,1.4828516258830072e-15
 01/02  23:00:00,1.680409513170649e-15
 01/02  24:00:00,1.6775982855347702e-15
 01/03  01:00:00,1.7624782396645816e-15
 01/03  02:00:00,1.791540360089064e-15
 01/03  03:00:00,1.6993253778384706e-15
 01/03  04:00:00,1.6453089035925926e-15
 01/03  05:00:00,265591138.45825195
 01/03  06:00:00,248645661.16333008
 01/03  07:00:00,362387596.89331055
 01/03  08:00:00,756330427.5512695
 01/03  09:00:00,602338375.8544922
 01/03  10:00:00,626847253.4179688
 01/03  11:00:00,627085848.9990234
 01/03  12:00:00,622143209.8388672
 01/03  13:00:00,631382807.9223633
 01/03  14:00:00,577106076.0498047
 01/03  15:00:00,552936016.8457031
 01/03  16:00:00,580920913.6962891
 01/03  17:00:00,564246194.4580078
 01/03  18:00:00,534887210.0830078
 01/03  19:00:00,8675539.404044254
 01/03  20:00:00,3.347155811193887e-07
 01/03  21:00:00,1.524170933262004e-15
 01/03  22:00:00,1.544473327624746e-15
 01/03  23:00:00,1.850199456204833e-15
 01/03  24:00:00,2.0008462971921033e-15
 01/04  01:00:00,2.0834012144391417e-15
 01/04  02:00:00,2.1730850967167436e-15
 01/04  03:00:00,2.2612933219010872e-15
 01/04  04:00:00,2.3010226037638755e-15
 01/04  05:00:00,261316852.56958008
 01/04  06:00:00,258868034.36279297
 01/04  07:00:00,378368467.71240234
 01/04  08:00:00,844708900.4516602
 01/04  09:00:00,669229513.5498047
 01/04  10:00:00,698707356.262207
 01/04  11:00:00,665620010.3759766
 01/04  12:00:00,622475917.0532227
 01/04  13:00:00,586112406.9213867
 01/04  14:00:00,570042526.2451172
 01/04  15:00:00,557704055.7861328
 01/04  16:00:00,558146200.5615234
 01/04  17:00:00,558522770.690918
 01/04  18:00:00,78275868.70193481
 01/04  19:00:00,5413054.089591733
 01/04  20:00:00,4.0513231612577636e-07
 01/04  21:00:00,1.1108244958243835e-14
 01/04  22:00:00,9.431694572816366e-15
 01/04  23:00:00,8.018175202354668e-15
 01/04  24:00:00,6.868174128133163e-15
 01/05  01:00:00,5.905128211395377e-15
 01/05  02:00:00,5.1342343314697416e-15
 01/05  03:00:00,4.534190244981673e-15
 01/05  04:00:00,4.062118653099604e-15
 01/05  05:00:00,3.623113939419189e-15
 01/05  06:00:00,3.271973255132952e-15
 01/05  07:00:00,2.98665893655425e-15
 01/05  08:00:00,2.861427830781556e-15
 01/05  09:00:00,2.8372225287886606e-15
 01/05  10:00:00,2.781823182638107e-15
 01/05  11:00:00,2.8035761293846597e-15
 01/05  12:00:00,2.8346011427384333e-15
 01/05  13:00:00,2.624514892195853e-15
 01/05  14:00:00,2.381584729622226e-15
 01/05  15:00:00,2.0903750528125928e-15
 01/05  16:00:00,1.801727192326334e-15
 01/05  17:00:00,1.604298668129729e-15
 01/05  18:00:00,1.3656448485791903e-15
 01/05  19:00:00,1.2292244488500655e-15
 01/05  20:00:00,1.0679094013415618e-15
 01/05  21:00:00,8.235503150568789e-16
 01/05  22:00:00,5.88779978225564e-16
 01/05  23:00:00,3.3021803320618047e-16
 01/05  24:00:00,5.43188518094835e-17
 01/06  01:00:00,0.0
 01/06  02:00:00,0.0
 01/06  03:00:00,0.0
 01/06  04:00:00,0.0
 01/06  05:00:00,0.0
 01/06  06:00:00,0.0
 01/06  07:00:00,0.0
 01/06  08:00:00,0.0
 01/06  09:00:00,0.0
 01/06  10:00:00,0.0
 01/06  11:00:00,0.0
 01/06  12:00:00,0.0
 01/06  13:00:00,6.138278678564161e-17
 01/06  14:00:00,2.1804773204085976e-16
 01/06  15:00:00,2.191577435848504e-16
 01/06  16:00:00,2.888299718661282e-16
 01/06  17:00:00,3.6060196770127354e-16
 01/06  18:00:00,3.9263069232988186e-16
 01/06  19:00:00,4.1593330962417545e-16
 01/06  20:00:00,2.485936203108835e-16
 01/06  21:00:00,1.2521905963001266e-16
 01/06  22:00:00,1.2286599791137902e-17
 01/06  23:00:00,1.6836293945001456e-19
 01/06  24:00:00,0.0
 01/07  01:00:00,0.0
 01/07  02:00:00,0.0
 01/07  03:00:00,343746084.59472656
 01/07  04:00:00,727932197.5708008
