Date/Time,Electricity:Facility [J](Hourly)
 01/01  01:00:00,75905998.42071533
 01/01  02:00:00,76211996.84143066
 01/01  03:00:00,76616999.24468994
 01/01  04:00:00,78236998.55804443
 01/01  05:00:00,88352998.35205078
 01/01  06:00:00,88865998.07739258
 01/01  07:00:00,89513997.45941162
 01/01  08:00:00,91574998.28338623
 01/01  09:00:00,89585999.10736084
 01/01  10:00:00,84059999.65667725
 01/01  11:00:00,82997997.66540527
 01/01  12:00:00,83636998.55804443
 01/01  13:00:00,83537996.29211426
 01/01  14:00:00,83798998.83270264
 01/01  15:00:00,83420997.04742432
 01/01  16:00:00,84050997.73406982
 01/01  17:00:00,91799998.28338623
 01/01  18:00:00,97496998.21472168
 01/01  19:00:00,79298997.11608887
 01/01  20:00:00,78596999.93133545
 01/01  21:00:00,79388999.17602539
 01/01  22:00:00,79307997.32208252
 01/01  23:00:00,79370998.76403809
 01/01  24:00:00,81467998.69537354
 01/02  01:00:00,79451998.90136719
 01/02  02:00:00,79721998.21472168
 01/02  03:00:00,80783998.48937988
 01/02  04:00:00,81170998.76403809
 01/02  05:00:00,92366997.52807617
 01/02  06:00:00,93941997.52807617
 01/02  07:00:00,113966997.52807617
 01/02  08:00:00,135899996.56677246
 01/02  09:00:00,161450996.01745605
 01/02  10:00:00,182951998.9013672
 01/02  11:00:00,185219995.88012695
 01/02  12:00:00,193454993.82019043
 01/02  13:00:00,198251995.46813965
 01/02  14:00:00,190187996.29211426
 01/02  15:00:00,184373997.11608887
 01/02  16:00:00,180368996.42944336
 01/02  17:00:00,182735993.95751953
 01/02  18:00:00,156185993.95751953
 01/02  19:00:00,117791997.52807617
 01/02  20:00:00,110618996.42944336
 01/02  21:00:00,95930998.42071533
 01/02  22:00:00,95543998.14605713
 01/02  23:00:00,85985999.10736084
 01/02  24:00:00,86039996.91009521
 01/03  01:00:00,85571998.21472168
 01/03  02:00:00,85103996.0861206
 01/03  03:00:00,84581996.15478516
 01/03  04:00:00,84707997.32208252
 01/03  05:00:00,96803997.80273438
 01/03  06:00:00,98396996.49810791
 01/03  07:00:00,123875996.01745605
 01/03  08:00:00,131426998.90136719
 01/03  09:00:00,165266997.52807617
 01/03  10:00:00,199547994.23217773
 01/03  11:00:00,220598993.68286133
 01/03  12:00:00,215270995.33081055
 01/03  13:00:00,216692996.97875977
 01/03  14:00:00,205100996.01745605
 01/03  15:00:00,203084994.50683594
 01/03  16:00:00,204974996.56677246
 01/03  17:00:00,197000996.01745605
 01/03  18:00:00,172412992.85888672
 01/03  19:00:00,124307995.60546875
 01/03  20:00:00,106451997.18475342
 01/03  21:00:00,92213999.17602539
 01/03  22:00:00,91457997.32208252
 01/03  23:00:00,83960997.39074707
 01/03  24:00:00,82898998.83270264
 01/04  01:00:00,83600997.73406982
 01/04  02:00:00,83609996.2234497
 01/04  03:00:00,83402998.35205078
 01/04  04:00:00,82610999.10736084
 01/04  05:00:00,94643998.14605713
 01/04  06:00:00,96182997.32208252
 01/04  07:00:00,119915998.07739258
 01/04  08:00:00,140507995.60546875
 01/04  09:00:00,165185997.39074707
 01/04  10:00:00,205433998.48937988
 01/04  11:00:00,217826992.0349121
 01/04  12:00:00,221012996.29211426
 01/04  13:00:00,223397994.23217773
 01/04  14:00:00,224243996.42944336
 01/04  15:00:00,224252998.35205078
 01/04  16:00:00,217610993.95751953
 01/04  17:00:00,196091997.52807617
 01/04  18:00:00,155186996.84143066
 01/04  19:00:00,118448997.11608887
 01/04  20:00:00,111797997.66540527
 01/04  21:00:00,95507999.03869629
 01/04  22:00:00,94400996.01745605
 01/04  23:00:00,87785997.39074707
 01/04  24:00:00,85499998.28338623
 01/05  01:00:00,86174998.28338623
 01/05  02:00:00,86030998.42071533
 01/05  03:00:00,86741997.52807617
 01/05  04:00:00,86354997.25341797
 01/05  05:00:00,87389998.62670898
 01/05  06:00:00,87992996.97875977
 01/05  07:00:00,87227998.35205078
 01/05  08:00:00,87110997.39074707
 01/05  09:00:00,79865998.07739258
 01/05  10:00:00,72800999.4506836
 01/05  11:00:00,71945998.76403809
 01/05  12:00:00,71747995.9487915
 01/05  13:00:00,71801998.90136719
 01/05  14:00:00,72566999.24468994
 01/05  15:00:00,72908996.77276611
 01/05  16:00:00,70505998.42071533
 01/05  17:00:00,76418998.14605713
 01/05  18:00:00,83195997.04742432
 01/05  19:00:00,82754998.97003174
 01/05  20:00:00,84068998.14605713
 01/05  21:00:00,83663997.45941162
 01/05  22:00:00,82988999.17602539
 01/05  23:00:00,84239996.91009521
 01/05  24:00:00,83294997.59674072
 01/06  01:00:00,83339998.62670898
 01/06  02:00:00,85301998.90136719
 01/06  03:00:00,84437996.29211426
 01/06  04:00:00,84869997.59674072
 01/06  05:00:00,85607999.03869629
 01/06  06:00:00,86291997.52807617
 01/06  07:00:00,84410999.10736084
 01/06  08:00:00,84356997.87139893
 01/06  09:00:00,78281997.87139893
 01/06  10:00:00,70460997.39074707
 01/06  11:00:00,71036998.55804443
 01/06  12:00:00,71054997.25341797
 01/06  13:00:00,70065000.34332275
 01/06  14:00:00,71171998.21472168
 01/06  15:00:00,70892998.69537354
 01/06  16:00:00,69929997.25341797
 01/06  17:00:00,77840999.79400635
 01/06  18:00:00,82340999.79400635
 01/06  19:00:00,85553999.51934814
 01/06  20:00:00,85922997.66540527
 01/06  21:00:00,85454998.97003174
 01/06  22:00:00,87218996.42944336
 01/06  23:00:00,87038997.45941162
 01/06  24:00:00,85976998.90136719
 01/07  01:00:00,86255996.70410156
 01/07  02:00:00,86057999.03869629
 01/07  03:00:00,96308996.77276611
 01/07  04:00:00,99647997.66540527
 01/07  05:00:00,99791997.52807617
 01/07  06:00:00,99188999.17602539
 01/07  07:00:00,127241997.52807617
 01/07  08:00:00,136529997.25341797
 01/07  09:00:00,188819999.3133545
 01/07  10:00:00,249893996.42944336
 01/07  11:00:00,277541990.6616211
 01/07  12:00:00,256175999.4506836
 01/07  13:00:00,255077991.4855957
 01/07  14:00:00,258524993.13354492
 01/07  15:00:00,255869989.01367188
 01/07  16:00:00,252368996.42944336
 01/07  17:00:00,247832995.60546875
 01/07  18:00:00,208142993.54553223
 01/07  19:00:00,138851995.46813965
 01/07  20:00:00,124829997.25341797
 01/07  21:00:00,103580998.42071533
 01/07  22:00:00,101645997.04742432
 01/07  23:00:00,90017996.97875977
 01/07  24:00:00,90566999.24468994
 01/08  01:00:00,90161998.55804443
 01/08  02:00:00,90719997.59674072
 01/08  03:00:00,90881999.5880127
 01/08  04:00:00,91880996.70410156
 01/08  05:00:00,102491997.52807617
 01/08  06:00:00,104030998.42071533
 01/08  07:00:00,129032999.03869629
 01/08  08:00:00,152639998.62670898
 01/08  09:00:00,202184994.50683594
 01/08  10:00:00,252656999.5880127
 01/08  11:00:00,270917990.1123047
 01/08  12:00:00,271097994.23217773
 01/08  13:00:00,256553997.80273438
 01/08  14:00:00,244835993.95751953
 01/08  15:00:00,246545988.46435547
 01/08  16:00:00,231965998.07739258
 01/08  17:00:00,228860997.39074707
 01/08  18:00:00,196172994.23217773
 01/08  19:00:00,137816997.52807617
 01/08  20:00:00,119582997.32208252
 01/08  21:00:00,104642998.69537354
 01/08  22:00:00,100178997.80273438
 01/08  23:00:00,90962998.00872803
 01/08  24:00:00,91430998.42071533
 01/09  01:00:00,91988997.45941162
 01/09  02:00:00,92627998.35205078
 01/09  03:00:00,92438997.45941162
 01/09  04:00:00,92330996.70410156
 01/09  05:00:00,104012996.29211426
 01/09  06:00:00,106469999.31335449
 01/09  07:00:00,129320995.33081055
 01/09  08:00:00,153035997.39074707
 01/09  09:00:00,201581992.72155762
 01/09  10:00:00,264995995.33081055
 01/09  11:00:00,266777991.4855957
 01/09  12:00:00,246707995.60546875
 01/09  13:00:00,232784997.94006348
 01/09  14:00:00,228932992.1722412
 01/09  15:00:00,229742993.54553223
 01/09  16:00:00,221741994.09484863
 01/09  17:00:00,224792993.54553223
 01/09  18:00:00,192365998.07739258
 01/09  19:00:00,140489995.19348145
 01/09  20:00:00,117890994.64416504
 01/09  21:00:00,100934997.94006348
 01/09  22:00:00,96794995.88012695
 01/09  23:00:00,86633996.77276611
 01/09  24:00:00,87002998.35205078
 01/10  01:00:00,86543996.42944336
 01/10  02:00:00,86219997.59674072
 01/10  03:00:00,86696998.21472168
 01/10  04:00:00,86975997.73406982
 01/10  05:00:00,98360999.10736084
 01/10  06:00:00,99917996.97875977
 01/10  07:00:00,127376995.46813965
 01/10  08:00:00,141453001.78527832
 01/10  09:00:00,195056999.5880127
 01/10  10:00:00,237068996.42944336
 01/10  11:00:00,242882988.73901367
 01/10  12:00:00,244449000.5493164
 01/10  13:00:00,224612996.29211426
 01/10  14:00:00,227456992.72155762
 01/10  15:00:00,224675992.58422852
 01/10  16:00:00,223199996.56677246
 01/10  17:00:00,214505996.70410156
 01/10  18:00:00,192716997.52807617
 01/10  19:00:00,141137996.29211426
 01/10  20:00:00,120410997.39074707
 01/10  21:00:00,104165999.79400635
 01/10  22:00:00,101375997.73406982
 01/10  23:00:00,91295998.76403809
 01/10  24:00:00,89954997.25341797
 01/11  01:00:00,90998998.83270264
 01/11  02:00:00,91466997.52807617
 01/11  03:00:00,90989998.62670898
 01/11  04:00:00,91421998.21472168
 01/11  05:00:00,102932997.32208252
 01/11  06:00:00,103427996.63543701
 01/11  07:00:00,130022994.23217773
 01/11  08:00:00,146267993.54553223
 01/11  09:00:00,187028994.36950684
 01/11  10:00:00,234674996.56677246
 01/11  11:00:00,245529004.66918945
 01/11  12:00:00,238112999.7253418
 01/11  13:00:00,240803990.9362793
 01/11  14:00:00,231434994.50683594
 01/11  15:00:00,224162996.29211426
 01/11  16:00:00,226358995.05615234
 01/11  17:00:00,230255996.70410156
 01/11  18:00:00,190133995.05615234
 01/11  19:00:00,125018996.42944336
 01/11  20:00:00,114020997.04742432
 01/11  21:00:00,96821999.93133545
 01/11  22:00:00,94922999.38201904
 01/11  23:00:00,84563999.17602539
 01/11  24:00:00,84266999.24468994
 01/12  01:00:00,83556000.1373291
 01/12  02:00:00,83654997.25341797
 01/12  03:00:00,84743998.14605713
 01/12  04:00:00,84941997.52807617
 01/12  05:00:00,85130998.42071533
 01/12  06:00:00,84536996.84143066
 01/12  07:00:00,84203997.80273438
 01/12  08:00:00,84446996.49810791
 01/12  09:00:00,79208996.77276611
 01/12  10:00:00,72341999.24468994
 01/12  11:00:00,72260997.39074707
 01/12  12:00:00,72206997.87139893
 01/12  13:00:00,72548997.11608887
 01/12  14:00:00,71666997.52807617
 01/12  15:00:00,72674998.28338623
 01/12  16:00:00,72872997.66540527
 01/12  17:00:00,75419999.31335449
 01/12  18:00:00,83852998.35205078
 01/12  19:00:00,84563997.45941162
 01/12  20:00:00,83663999.17602539
 01/12  21:00:00,85112996.29211426
 01/12  22:00:00,84617996.97875977
 01/12  23:00:00,84968999.8626709
 01/12  24:00:00,84824996.56677246
 01/13  01:00:00,86813999.17602539
 01/13  02:00:00,86201997.18475342
 01/13  03:00:00,86354997.25341797
 01/13  04:00:00,87767998.69537354
 01/13  05:00:00,87713997.45941162
 01/13  06:00:00,87290998.07739258
 01/13  07:00:00,86363997.45941162
 01/13  08:00:00,87461998.55804443
