Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/01  01:00:00,9761104.792,39466604.49,0
 01/01  02:00:00,9761104.792,42899600.1,0
 01/01  03:00:00,9761104.792,43469455.92,0
 01/01  04:00:00,9761104.792,43477692.73,0
 01/01  05:00:00,9761104.792,43087222.63,0
 01/01  06:00:00,9761104.792,42708237.01,0
 01/01  07:00:00,9761104.792,40264766.27,0
 01/01  08:00:00,9778072.731,39118199.01,0
 01/01  09:00:00,9778072.731,37293999.75,0
 01/01  10:00:00,9778072.731,36898098.72,0
 01/01  11:00:00,9778072.731,34803865.79,0
 01/01  12:00:00,9778072.731,30871929.84,0
 01/01  13:00:00,9778072.731,23838288.2,0
 01/01  14:00:00,9778072.731,23325562.45,0
 01/01  15:00:00,9778072.731,22115595.54,0
 01/01  16:00:00,9778072.731,24623028.74,0
 01/01  17:00:00,9778072.731,27340251.12,0
 01/01  18:00:00,9778072.731,26639885.96,0
 01/01  19:00:00,9778072.731,27860972.05,0
 01/01  20:00:00,9778072.731,28417701.44,0
 01/01  21:00:00,9778072.731,28307170.93,0
 01/01  22:00:00,9778072.731,29706114.19,0
 01/01  23:00:00,9778072.731,31881293.56,0
 01/01  24:00:00,9778072.731,32316007.54,0
 01/02  01:00:00,9761104.792,33273794.97,0
 01/02  02:00:00,9761104.792,34398396.14,0
 01/02  03:00:00,9761104.792,35902825.42,0
 01/02  04:00:00,9761104.792,37823319.09,0
 01/02  05:00:00,9761104.792,36932294.66,0
 01/02  06:00:00,9761104.792,40144410.28,0
 01/02  07:00:00,9761104.792,43044683.1,0
 01/02  08:00:00,9778072.731,44730701.04,0
 01/02  09:00:00,9778072.731,45108261.54,0
 01/02  10:00:00,9778072.731,34777737.39,0
 01/02  11:00:00,9778072.731,23745394.87,0
 01/02  12:00:00,9778072.731,14314408.21,0
 01/02  13:00:00,9778072.731,10279795.37,0
 01/02  14:00:00,9778072.731,9947425.273,0
 01/02  15:00:00,9778072.731,9712643.071,0
 01/02  16:00:00,9778072.731,10369951.97,0
 01/02  17:00:00,9778072.731,11775444.34,0
 01/02  18:00:00,9778072.731,13341110.48,0
 01/02  19:00:00,9778072.731,14271805.57,0
 01/02  20:00:00,9778072.731,14499777.51,0
 01/02  21:00:00,9778072.731,15443851.35,0
 01/02  22:00:00,9778072.731,18702382.37,0
 01/02  23:00:00,9778072.731,20886091.34,0
 01/02  24:00:00,9778072.731,21322955.64,0
 01/03  01:00:00,9761104.792,21314855.19,0
 01/03  02:00:00,9761104.792,17496041.39,0
 01/03  03:00:00,9761104.792,16217187.18,0
 01/03  04:00:00,9761104.792,17999136.2,0
 01/03  05:00:00,9761104.792,21986135.05,0
 01/03  06:00:00,9761104.792,816775439.5,0
 01/03  07:00:00,14346905.25,728623799,2.44E-04
 01/03  08:00:00,491776279,838511022.1,4.80E-02
 01/03  09:00:00,450744819,764276972,6.68E-02
 01/03  10:00:00,307385753.5,789467884.9,0.103975347
 01/03  11:00:00,267788242,704483522.1,0.103975347
 01/03  12:00:00,259155911.1,625534531.4,0.134665347
 01/03  13:00:00,263811482.5,589686192.9,0.208148997
 01/03  14:00:00,263085694.8,547152556.7,0.208148997
 01/03  15:00:00,272945596.7,563367263.3,0.195800939
 01/03  16:00:00,358127117.3,509260513.5,0.103242122
 01/03  17:00:00,499076725.7,325005421.6,7.46E-02
 01/03  18:00:00,485817047.8,278827481.2,3.72E-02
 01/03  19:00:00,482700801.2,252373857.7,1.86E-02
 01/03  20:00:00,168554793.2,0,0
 01/03  21:00:00,12964410.58,3806638.448,0
 01/03  22:00:00,12964410.58,6388676.634,0
 01/03  23:00:00,12167826.12,7680901.237,0
 01/03  24:00:00,10574657.19,8548794.191,0
 01/04  01:00:00,9761104.792,9472525.977,0
 01/04  02:00:00,9761104.792,9933948.942,0
 01/04  03:00:00,9761104.792,10423074.29,0
 01/04  04:00:00,9761104.792,11232154.86,0
 01/04  05:00:00,9761104.792,12993255.58,0
 01/04  06:00:00,9761104.792,816481535.2,0
 01/04  07:00:00,14346905.25,703517338.4,2.44E-04
 01/04  08:00:00,491776279,720015161.8,4.80E-02
 01/04  09:00:00,458119770.4,651412099.6,6.68E-02
 01/04  10:00:00,330099370.2,648716472.4,0.103975347
 01/04  11:00:00,280513275.9,602419559.2,0.103975347
 01/04  12:00:00,272707186,567320733.4,0.134665347
 01/04  13:00:00,288578148.2,566196776.2,0.208148997
 01/04  14:00:00,296942976.9,577979723.4,0.208148997
 01/04  15:00:00,322752663.8,577132711,0.195800939
 01/04  16:00:00,437133682.9,499202867.9,0.103242122
 01/04  17:00:00,499076725.7,334061182.7,7.46E-02
 01/04  18:00:00,485817047.8,281145280.7,3.72E-02
