Date/Time,Electricity:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Water:Facility [m3](Monthly)
January,1.01546E+11,1.95764E+11,23.90715619
February,86593512995,1.93418E+11,22.76872018
March,86417464599,1.68605E+11,26.18402821
April,65635182280,1.05429E+11,21.63028417
May,76047828807,74899323425,20.76439394
June,72521536774,17588278645,19.46105693
July,70020158659,14868158305,18.57646344
August,77228060013,21288144882,20.34565043
September,75126608994,50344811314,23.66080918
October,90929128143,81314652350,25.04892353
November,1.01054E+11,1.42695E+11,25.0455922
December,96706211705,1.64433E+11,21.63028417
