Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/01  01:00:00,9478623.992,73261133.4,0
 01/01  02:00:00,9478623.992,81753084.54,0
 01/01  03:00:00,9478623.992,82221122.72,0
 01/01  04:00:00,9478623.992,81586422.35,0
 01/01  05:00:00,9478623.992,80028328.85,0
 01/01  06:00:00,9478623.992,78283767.05,0
 01/01  07:00:00,9478623.992,71358567.16,0
 01/01  08:00:00,9494309.469,68410420.37,0
 01/01  09:00:00,9494309.469,63061826.84,0
 01/01  10:00:00,9494309.469,59037886.84,0
 01/01  11:00:00,9494309.469,53495214.59,0
 01/01  12:00:00,9494309.469,43380649.21,0
 01/01  13:00:00,9494309.469,32154120.67,0
 01/01  14:00:00,9494309.469,30420433.75,0
 01/01  15:00:00,9494309.469,27886440.66,0
 01/01  16:00:00,9494309.469,31286524.75,0
 01/01  17:00:00,9494309.469,35464575.5,0
 01/01  18:00:00,9494309.469,34193197.14,0
 01/01  19:00:00,9494309.469,36389909.6,0
 01/01  20:00:00,9494309.469,37648146.25,0
 01/01  21:00:00,9494309.469,38955629.73,0
 01/01  22:00:00,9494309.469,43935639.59,0
 01/01  23:00:00,9494309.469,51472368.88,0
 01/01  24:00:00,9494309.469,52622933.01,0
 01/02  01:00:00,9478623.992,55750555.69,0
 01/02  02:00:00,9478623.992,58672312.55,0
 01/02  03:00:00,9478623.992,62467334.19,0
 01/02  04:00:00,9478623.992,67630394.29,0
 01/02  05:00:00,9478623.992,64845722.43,0
 01/02  06:00:00,9478623.992,72973149.87,0
 01/02  07:00:00,9478623.992,80091210.05,0
 01/02  08:00:00,9494309.469,83669675.23,0
 01/02  09:00:00,9494309.469,84410414.34,0
 01/02  10:00:00,9494309.469,60386435.18,0
 01/02  11:00:00,9494309.469,32835306.15,0
 01/02  12:00:00,9494309.469,18324266.03,0
 01/02  13:00:00,9494309.469,13092321.69,0
 01/02  14:00:00,9494309.469,13094507.44,0
 01/02  15:00:00,9494309.469,13211522.58,0
 01/02  16:00:00,9494309.469,14637925.12,0
 01/02  17:00:00,9494309.469,19380799.49,0
 01/02  18:00:00,9494309.469,25564101.91,0
 01/02  19:00:00,9494309.469,29735435.35,0
 01/02  20:00:00,9494309.469,30831116.25,0
 01/02  21:00:00,9494309.469,33018751.73,0
 01/02  22:00:00,9494309.469,37363563.08,0
 01/02  23:00:00,9494309.469,40410441.5,0
 01/02  24:00:00,9494309.469,39203867.78,0
 01/03  01:00:00,9478623.992,42900669.22,0
 01/03  02:00:00,9478623.992,32837715,0
 01/03  03:00:00,9478623.992,27975865.81,0
 01/03  04:00:00,9478623.992,29148254.27,0
 01/03  05:00:00,9478623.992,34922308.98,0
 01/03  06:00:00,9478623.992,905244116.9,0
 01/03  07:00:00,14017756.35,820424141.6,2.44E-04
 01/03  08:00:00,479136334.1,950325646.2,4.33E-02
 01/03  09:00:00,433772236.4,861590762,5.85E-02
 01/03  10:00:00,292205001.5,847285369.8,8.86E-02
 01/03  11:00:00,254669541.4,746516753.9,8.86E-02
 01/03  12:00:00,249438124.7,653631086.1,0.109565663
 01/03  13:00:00,252774430.5,622076543.3,0.157407058
 01/03  14:00:00,251562392.4,573205316.4,0.157407058
 01/03  15:00:00,260594613,579104314.4,0.151238988
 01/03  16:00:00,340785483.2,533904179.9,8.79E-02
 01/03  17:00:00,487200577.7,325244045.9,6.04E-02
 01/03  18:00:00,473470003.4,307112817,3.01E-02
 01/03  19:00:00,470351466.9,294942096.6,1.50E-02
 01/03  20:00:00,163453733.1,0,0
 01/03  21:00:00,12249030.9,5287629.125,0
 01/03  22:00:00,12249030.9,7853172.174,0
 01/03  23:00:00,11560350.54,9333435.557,0
 01/03  24:00:00,10182989.83,10333901.61,0
 01/04  01:00:00,9478623.992,11297755.64,0
 01/04  02:00:00,9478623.992,12520962.21,0
 01/04  03:00:00,9478623.992,15364103.49,0
 01/04  04:00:00,9478623.992,18471437.08,0
 01/04  05:00:00,9478623.992,21877790.54,0
 01/04  06:00:00,9478623.992,904402808.4,0
 01/04  07:00:00,14017756.35,803833858.4,2.44E-04
 01/04  08:00:00,479136334.1,843832837.8,4.33E-02
 01/04  09:00:00,441830630.3,750510479.8,5.85E-02
 01/04  10:00:00,306375940.4,706237081.6,8.86E-02
 01/04  11:00:00,266238174.1,642132878.7,8.86E-02
 01/04  12:00:00,260140794.7,594772105.1,0.109565663
 01/04  13:00:00,272434807.9,597459747.6,0.157407058
 01/04  14:00:00,280694117.5,606811297.4,0.157407058
 01/04  15:00:00,307621955.8,590849434.4,0.151238988
 01/04  16:00:00,419845772.4,519395365.7,8.79E-02
 01/04  17:00:00,487200577.7,330895769.9,6.04E-02
 01/04  18:00:00,473470003.4,305742374.5,3.01E-02
 01/04  19:00:00,470351466.9,292039868,1.50E-02
 01/04  20:00:00,163453733.1,293686.8567,0
 01/04  21:00:00,12249030.9,6623493.894,0
 01/04  22:00:00,12249030.9,8891165.417,0
 01/04  23:00:00,11560350.54,9986714.325,0
 01/04  24:00:00,10182989.83,10831039.41,0
 01/05  01:00:00,9478623.992,11883644.71,0
 01/05  02:00:00,9478623.992,14520918.25,0
 01/05  03:00:00,9478623.992,18728958.37,0
 01/05  04:00:00,9478623.992,23080434.56,0
 01/05  05:00:00,9478623.992,29882159.88,0
 01/05  06:00:00,9478623.992,926526252.6,0
 01/05  07:00:00,14017756.35,843765733.8,2.44E-04
 01/05  08:00:00,479136334.1,908985216,4.33E-02
 01/05  09:00:00,441733407.8,799137234.1,5.85E-02
 01/05  10:00:00,303330032,779761697.7,8.86E-02
 01/05  11:00:00,259557367.7,711120020.8,8.86E-02
 01/05  12:00:00,250693781.4,648521971.5,0.109565663
 01/05  13:00:00,250671644.2,590174119.3,0.157407058
 01/05  14:00:00,279102691.1,586232745.6,0.157407058
 01/05  15:00:00,305493866.8,573261793.8,0.151238988
 01/05  16:00:00,414573262.9,504213978.3,8.79E-02
 01/05  17:00:00,487200577.7,333997728.6,6.04E-02
 01/05  18:00:00,473470003.4,318984860.6,3.01E-02
 01/05  19:00:00,470351466.9,313788700.2,1.50E-02
 01/05  20:00:00,163453733.1,342428.0759,0
 01/05  21:00:00,12249030.9,7499475.051,0
 01/05  22:00:00,12249030.9,9819004.639,0
 01/05  23:00:00,11560350.54,11055731.07,0
 01/05  24:00:00,10182989.83,12015845.32,0
 01/06  01:00:00,9478623.992,15428310.39,0
 01/06  02:00:00,9478623.992,21236252.22,0
 01/06  03:00:00,9478623.992,27589012.2,0
 01/06  04:00:00,9478623.992,36776565.36,0
 01/06  05:00:00,9478623.992,52812532.87,0
 01/06  06:00:00,9478623.992,937349531,0
 01/06  07:00:00,14017756.35,857589382,2.44E-04
 01/06  08:00:00,479136334.1,919063853.3,4.33E-02
 01/06  09:00:00,459481246.6,774860622.4,5.85E-02
 01/06  10:00:00,355487090.7,705472052.9,8.86E-02
 01/06  11:00:00,292556955.6,646212881.7,8.86E-02
 01/06  12:00:00,265758794.4,577419502.7,0.109565663
 01/06  13:00:00,246051698.3,473028664.3,0.157407058
 01/06  14:00:00,245385000.1,373475495.7,0.157407058
 01/06  15:00:00,249496629.2,338543863.1,0.151238988
 01/06  16:00:00,299189147.8,309747545.9,8.79E-02
 01/06  17:00:00,487200577.7,182324187,6.04E-02
 01/06  18:00:00,473470003.4,189995653,3.01E-02
 01/06  19:00:00,470351466.9,186040601,1.50E-02
 01/06  20:00:00,163453733.1,0,0
 01/06  21:00:00,12249030.9,0,0
 01/06  22:00:00,12249030.9,1382549.332,0
 01/06  23:00:00,11560350.54,2483827.781,0
 01/06  24:00:00,10182989.83,3215962.734,0
 01/07  01:00:00,9478623.992,3950450.807,0
 01/07  02:00:00,9478623.992,4637777.18,0
 01/07  03:00:00,9478623.992,5460233.763,0
 01/07  04:00:00,9478623.992,5861525.032,0
 01/07  05:00:00,9478623.992,6440281.13,0
 01/07  06:00:00,9478623.992,7068372.957,0
 01/07  07:00:00,9478623.992,8061917.917,0
 01/07  08:00:00,9494309.469,9251024.813,0
 01/07  09:00:00,10387684.03,10810428.21,0
 01/07  10:00:00,10387684.03,9271381.791,0
 01/07  11:00:00,10387684.03,6845324.763,0
 01/07  12:00:00,10387684.03,6647102.996,0
 01/07  13:00:00,10387684.03,6097491.195,0
 01/07  14:00:00,10387684.03,7793788.702,0
 01/07  15:00:00,10387684.03,10693147.25,0
 01/07  16:00:00,10387684.03,14108502.54,0
 01/07  17:00:00,10387684.03,16910710.68,0
 01/07  18:00:00,10387684.03,20976559.29,0
 01/07  19:00:00,9494309.469,26040248.07,0
 01/07  20:00:00,9494309.469,36941382.8,0
 01/07  21:00:00,9494309.469,43685456.57,0
 01/07  22:00:00,9494309.469,52907965.68,0
 01/07  23:00:00,9494309.469,62813269.72,0
 01/07  24:00:00,9494309.469,75452239.86,0
 01/08  01:00:00,9478623.992,82883711.63,0
 01/08  02:00:00,9478623.992,86499263.37,0
 01/08  03:00:00,9478623.992,83769674.47,0
 01/08  04:00:00,9478623.992,80161745.5,0
 01/08  05:00:00,9478623.992,79519923.9,0
 01/08  06:00:00,9478623.992,76311460.29,0
 01/08  07:00:00,9478623.992,83416950.74,0
 01/08  08:00:00,9494309.469,87229188.84,0
 01/08  09:00:00,9494309.469,84402621.15,0
 01/08  10:00:00,9494309.469,77427787.9,0
 01/08  11:00:00,9494309.469,68005968.99,0
 01/08  12:00:00,9494309.469,57412623.03,0
 01/08  13:00:00,9494309.469,49001191.13,0
 01/08  14:00:00,9494309.469,44726674.11,0
 01/08  15:00:00,9494309.469,46516828.19,0
 01/08  16:00:00,9494309.469,52241632.89,0
 01/08  17:00:00,9494309.469,49706671.17,0
 01/08  18:00:00,9494309.469,35759751.55,0
 01/08  19:00:00,9494309.469,31432146.45,0
 01/08  20:00:00,9494309.469,29191052.76,0
 01/08  21:00:00,9494309.469,26331360.51,0
 01/08  22:00:00,9494309.469,23735188.72,0
