Date/Time,Electricity:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Water:Facility [m3](Monthly)
January,1.08771E+11,1.43026E+11,22.01292125
February,93451071946,1.43218E+11,20.9646869
March,94200664086,1.11956E+11,24.10938993
April,71889277270,62954402147,19.91645256
May,83451794580,46934648131,18.83159918
June,79506826712,12869348920,17.61846383
July,76754514795,9518552627,16.81762456
August,84857746217,16128629283,18.41930309
September,82555379283,30031933331,21.77302167
October,98589168296,65174403027,23.06448692
November,1.08449E+11,1.19036E+11,23.06115559
December,1.03235E+11,1.27555E+11,19.91645256
