Date/Time,Electricity:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Water:Facility [m3](Monthly) 
January,108771272453.296,143025581368.973,22.012921245 
February,93451071946.1293,143218402521.27,20.9646869 
March,94200664085.7331,111956216737.568,24.1093899349999 
April,71889277269.7368,62954402147.3758,19.916452555 
May,83451794580.0352,46934648131.0232,18.831599175 
June,79506826711.6762,12869348919.514,17.6184638299999 
July,76754514795.275,9518552627.02204,16.8176245649999 
August,84857746216.8131,16128629282.6454,18.4193030949999 
September,82555379283.1193,30031933330.7964,21.773021665 
October,98589168295.996,65174403027.1093,23.0644869233333 
November,108448502352.746,119036380743.3,23.0611555899999 
December,103234930887.537,127555058601.595,19.916452555 
