Date/Time,Electricity:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Water:Facility [m3](Monthly)
January,1.03519E+11,1.48631E+11,30.30167755
February,88619975445,1.48422E+11,28.85874052
March,88547566934,1.17652E+11,33.1875516
April,67556679071,66855418286,27.4158035
May,78568767750,47662151181,26.52581245
June,75019100607,14971970135,24.84164965
July,72418862477,11339657618,23.71248375
August,79648017173,17827294262,25.97081554
September,77151736439,33354944094,29.99887123
October,93105175332,69699912178,31.74948782
November,1.03111E+11,1.24701E+11,31.74461458
December,98557003191,1.32621E+11,27.4158035
