Date/Time,Electricity:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Water:Facility [m3](Monthly) 
January,101546365170.409,195764024772.165,23.9071561889999 
February,86593512994.7857,193417725354.396,22.7687201799999 
March,86417464599.3621,168605465778.96,26.1840282069999 
April,65635182280.3469,105428895279.412,21.630284171 
May,76047828806.5163,74899323425.0109,20.7643939430001 
June,72521536774.4389,17588278644.5244,19.461056934 
July,70020158659.1793,14868158304.7505,18.576463437 
August,77228060013.4957,21288144881.8796,20.345650431 
September,75126608993.9585,50344811313.7573,23.6608091769999 
October,90929128143.1755,81314652350.2206,25.0489235313333 
November,101053585836.694,142695056536.529,25.0455921979999 
December,96706211705.4526,164433491989.784,21.630284171 
