Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly) 
 01/01  01:00:00,9478623.9918672,73261133.4034603,0.0 
 01/01  02:00:00,9478623.9918672,81753084.5382814,0.0 
 01/01  03:00:00,9478623.9918672,82221122.7164381,0.0 
 01/01  04:00:00,9478623.9918672,81586422.350922,0.0 
 01/01  05:00:00,9478623.9918672,80028328.8490096,0.0 
 01/01  06:00:00,9478623.9918672,78283767.0545253,0.0 
 01/01  07:00:00,9478623.9918672,71358567.1640938,0.0 
 01/01  08:00:00,9494309.4690672,68410420.3700301,0.0 
 01/01  09:00:00,9494309.4690672,63061826.842705,0.0 
 01/01  10:00:00,9494309.4690672,59037886.8391581,0.0 
 01/01  11:00:00,9494309.4690672,53495214.5947682,0.0 
 01/01  12:00:00,9494309.4690672,43380649.208777,0.0 
 01/01  13:00:00,9494309.4690672,32154120.6664402,0.0 
 01/01  14:00:00,9494309.4690672,30420433.746472,0.0 
 01/01  15:00:00,9494309.4690672,27886440.657905,0.0 
 01/01  16:00:00,9494309.4690672,31286524.7510854,0.0 
 01/01  17:00:00,9494309.4690672,35464575.4985909,0.0 
 01/01  18:00:00,9494309.4690672,34193197.1367507,0.0 
 01/01  19:00:00,9494309.4690672,36389909.5956728,0.0 
 01/01  20:00:00,9494309.4690672,37648146.2500636,0.0 
 01/01  21:00:00,9494309.4690672,38955629.7340698,0.0 
 01/01  22:00:00,9494309.4690672,43935639.5890181,0.0 
 01/01  23:00:00,9494309.4690672,51472368.8791592,0.0 
 01/01  24:00:00,9494309.4690672,52622933.0108289,0.0 
 01/02  01:00:00,9478623.9918672,55750555.6942379,0.0 
 01/02  02:00:00,9478623.9918672,58672312.5538983,0.0 
 01/02  03:00:00,9478623.9918672,62467334.1877266,0.0 
 01/02  04:00:00,9478623.9918672,67630394.2852613,0.0 
 01/02  05:00:00,9478623.9918672,64845722.4311466,0.0 
 01/02  06:00:00,9478623.9918672,72973149.8697597,0.0 
 01/02  07:00:00,9478623.9918672,80091210.0521783,0.0 
 01/02  08:00:00,9494309.4690672,83669675.2284442,0.0 
 01/02  09:00:00,9494309.4690672,84410414.3396811,0.0 
 01/02  10:00:00,9494309.4690672,60386435.1785633,0.0 
 01/02  11:00:00,9494309.4690672,32835306.1514047,0.0 
 01/02  12:00:00,9494309.4690672,18324266.0345681,0.0 
 01/02  13:00:00,9494309.4690672,13092321.687635,0.0 
 01/02  14:00:00,9494309.4690672,13094507.4368551,0.0 
 01/02  15:00:00,9494309.4690672,13211522.5773627,0.0 
 01/02  16:00:00,9494309.4690672,14637925.1181345,0.0 
 01/02  17:00:00,9494309.4690672,19380799.4874617,0.0 
 01/02  18:00:00,9494309.4690672,25564101.9093239,0.0 
 01/02  19:00:00,9494309.4690672,29735435.34637,0.0 
 01/02  20:00:00,9494309.4690672,30831116.2547181,0.0 
 01/02  21:00:00,9494309.4690672,33018751.7343322,0.0 
 01/02  22:00:00,9494309.4690672,37363563.082762,0.0 
 01/02  23:00:00,9494309.4690672,40410441.5007477,0.0 
 01/02  24:00:00,9494309.4690672,39203867.7785289,0.0 
 01/03  01:00:00,9478623.9918672,42900669.2175441,0.0 
 01/03  02:00:00,9478623.9918672,32837715.000097,0.0 
 01/03  03:00:00,9478623.9918672,27975865.805611,0.0 
 01/03  04:00:00,9478623.9918672,29148254.274843,0.0 
 01/03  05:00:00,9478623.9918672,34922308.9823714,0.0 
 01/03  06:00:00,9478623.9918672,905244116.8625,0.0 
 01/03  07:00:00,14017756.3489872,820424141.588973,2.444085151515151E-004 
 01/03  08:00:00,479136334.098694,950325646.209718,4.325677287878787E-002 
 01/03  09:00:00,433772236.359957,861590761.970103,5.853638650505051E-002 
 01/03  10:00:00,292205001.48595,847285369.764784,8.860679672727272E-002 
 01/03  11:00:00,254669541.434822,746516753.876924,8.860679672727272E-002 
 01/03  12:00:00,249438124.738697,653631086.051988,0.109565663393939 
 01/03  13:00:00,252774430.493495,622076543.305737,0.157407058282828 
 01/03  14:00:00,251562392.350202,573205316.375241,0.157407058282828 
 01/03  15:00:00,260594612.968259,579104314.379947,0.151238988212121 
 01/03  16:00:00,340785483.155519,533904179.864792,8.787357118181820E-002 
 01/03  17:00:00,487200577.68864,325244045.941114,6.038522895959597E-002 
 01/03  18:00:00,473470003.44288,307112816.978004,3.007041022222222E-002 
 01/03  19:00:00,470351466.855814,294942096.561168,1.503520511111111E-002 
 01/03  20:00:00,163453733.055814,0.0,0.0 
 01/03  21:00:00,12249030.8975472,5287629.12483597,0.0 
 01/03  22:00:00,12249030.8975472,7853172.17372521,0.0 
 01/03  23:00:00,11560350.5404272,9333435.55708072,0.0 
 01/03  24:00:00,10182989.8261872,10333901.6087515,0.0 
 01/04  01:00:00,9478623.9918672,11297755.6401067,0.0 
 01/04  02:00:00,9478623.9918672,12520962.2110662,0.0 
 01/04  03:00:00,9478623.9918672,15364103.4896109,0.0 
 01/04  04:00:00,9478623.9918672,18471437.0754451,0.0 
 01/04  05:00:00,9478623.9918672,21877790.5419369,0.0 
 01/04  06:00:00,9478623.9918672,904402808.413829,0.0 
 01/04  07:00:00,14017756.3489872,803833858.407911,2.444085151515151E-004 
 01/04  08:00:00,479136334.098694,843832837.796793,4.325677287878786E-002 
 01/04  09:00:00,441830630.349837,750510479.841947,5.853638650505051E-002 
 01/04  10:00:00,306375940.369985,706237081.626884,8.860679672727272E-002 
 01/04  11:00:00,266238174.07452,642132878.664812,8.860679672727272E-002 
 01/04  12:00:00,260140794.656816,594772105.114635,0.109565663393939 
 01/04  13:00:00,272434807.91908,597459747.550391,0.157407058282828 
 01/04  14:00:00,280694117.51448,606811297.395023,0.157407058282828 
 01/04  15:00:00,307621955.813924,590849434.394222,0.151238988212121 
 01/04  16:00:00,419845772.406937,519395365.692908,8.787357118181820E-002 
 01/04  17:00:00,487200577.68864,330895769.900682,6.038522895959597E-002 
 01/04  18:00:00,473470003.44288,305742374.543533,3.007041022222222E-002 
 01/04  19:00:00,470351466.855814,292039867.962254,1.503520511111111E-002 
