Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/01  01:00:00,10172196.09,72703355.08,0
 01/01  02:00:00,10172196.09,81178956.7,0
 01/01  03:00:00,10172196.09,81653044.35,0
 01/01  04:00:00,10172196.09,81026428.39,0
 01/01  05:00:00,10172196.09,79473830.75,0
 01/01  06:00:00,10172196.09,77734649.8,0
 01/01  07:00:00,10172196.09,70844113.44,0
 01/01  08:00:00,10189302.1,67902635.24,0
 01/01  09:00:00,10189302.1,62559612.29,0
 01/01  10:00:00,10189302.1,58534912.39,0
 01/01  11:00:00,10189302.1,52998264.14,0
 01/01  12:00:00,10189302.1,43075876.48,0
 01/01  13:00:00,10189302.1,32042813.91,0
 01/01  14:00:00,10189302.1,30312021.75,0
 01/01  15:00:00,10189302.1,27783674.27,0
 01/01  16:00:00,10189302.1,31179922.27,0
 01/01  17:00:00,10189302.1,35350753.43,0
 01/01  18:00:00,10189302.1,34081902.96,0
 01/01  19:00:00,10189302.1,36275282.26,0
 01/01  20:00:00,10189302.1,37301692.46,0
 01/01  21:00:00,10189302.1,38389070.96,0
 01/01  22:00:00,10189302.1,43349910.86,0
 01/01  23:00:00,10189302.1,50926149.42,0
 01/01  24:00:00,10189302.1,52084760.07,0
 01/02  01:00:00,10172196.09,55218309.58,0
 01/02  02:00:00,10172196.09,58145206.21,0
 01/02  03:00:00,10172196.09,61944769.5,0
 01/02  04:00:00,10172196.09,67111687.01,0
 01/02  05:00:00,10172196.09,64330572.55,0
 01/02  06:00:00,10172196.09,72454655.32,0
 01/02  07:00:00,10172196.09,79537506.97,0
 01/02  08:00:00,10189302.1,83118915.78,0
 01/02  09:00:00,10189302.1,83826645.98,0
 01/02  10:00:00,10189302.1,59859084.44,0
 01/02  11:00:00,10189302.1,32541765.34,0
 01/02  12:00:00,10189302.1,18258388.82,0
 01/02  13:00:00,10189302.1,13053370.26,0
 01/02  14:00:00,10189302.1,13060879.69,0
 01/02  15:00:00,10189302.1,13180156.35,0
 01/02  16:00:00,10189302.1,14602415.12,0
 01/02  17:00:00,10189302.1,18819270.11,0
 01/02  18:00:00,10189302.1,25048070.92,0
 01/02  19:00:00,10189302.1,29224232.14,0
 01/02  20:00:00,10189302.1,30311290.26,0
 01/02  21:00:00,10189302.1,32505937.06,0
 01/02  22:00:00,10189302.1,36839230.19,0
 01/02  23:00:00,10189302.1,39888690.39,0
 01/02  24:00:00,10189302.1,38691608.47,0
 01/03  01:00:00,10172196.09,42480724.9,0
 01/03  02:00:00,10172196.09,32630222.51,0
 01/03  03:00:00,10172196.09,27797200.43,0
 01/03  04:00:00,10172196.09,28967958.28,0
 01/03  05:00:00,10172196.09,34709758.52,0
 01/03  06:00:00,10172196.09,904793266.4,0
 01/03  07:00:00,14769099.7,819541510.6,2.68E-04
 01/03  08:00:00,501746864.7,939329272,5.70E-02
 01/03  09:00:00,460116743,847846051.4,7.81E-02
 01/03  10:00:00,313065491.2,838262159.8,0.1199618
 01/03  11:00:00,273832051,737491789.9,0.1199618
 01/03  12:00:00,265978348.4,648133937.4,0.1506833
 01/03  13:00:00,270539773.1,621409304.4,0.221939609
 01/03  14:00:00,269557296,572400152.5,0.221939609
 01/03  15:00:00,279584888.1,576966325.8,0.2118585
 01/03  16:00:00,365850421.7,522209493.3,0.119158399
 01/03  17:00:00,509602367.1,316471608.6,8.39E-02
 01/03  18:00:00,495689784.5,295569305,4.18E-02
 01/03  19:00:00,492570440.1,282088779.1,2.09E-02
 01/03  20:00:00,175777015.5,0,0
 01/03  21:00:00,13294952.55,5275117.126,0
 01/03  22:00:00,13294952.55,7824675.101,0
 01/03  23:00:00,12518539.94,9301856.52,0
 01/03  24:00:00,10965714.72,10306368.96,0
 01/04  01:00:00,10172196.09,11271836.27,0
 01/04  02:00:00,10172196.09,12387583.42,0
 01/04  03:00:00,10172196.09,15127898.42,0
 01/04  04:00:00,10172196.09,18210838.57,0
 01/04  05:00:00,10172196.09,21624981.84,0
 01/04  06:00:00,10172196.09,903258347.2,0
 01/04  07:00:00,14769099.7,802370790.8,2.68E-04
 01/04  08:00:00,501746864.7,828614955.6,5.70E-02
 01/04  09:00:00,467583469.6,733674541.6,7.81E-02
 01/04  10:00:00,337301713.2,688820907.2,0.1199618
 01/04  11:00:00,286370462.1,630882359.1,0.1199618
 01/04  12:00:00,279050769.8,586828983.2,0.1506833
 01/04  13:00:00,294087806.3,593826955.9,0.221939609
 01/04  14:00:00,302495380.5,603118432.3,0.221939609
 01/04  15:00:00,335087418.4,583519418.4,0.2118585
 01/04  16:00:00,446937764.2,504956941.1,0.119158399
 01/04  17:00:00,509602367.1,321735048.1,8.39E-02
 01/04  18:00:00,495689784.5,293882084.6,4.18E-02
 01/04  19:00:00,492570440.1,278827020.8,2.09E-02
 01/04  20:00:00,175777015.5,290977.0324,0
 01/04  21:00:00,13294952.55,6598843.3,0
 01/04  22:00:00,13294952.55,8845140.387,0
 01/04  23:00:00,12518539.94,9950023.89,0
 01/04  24:00:00,10965714.72,10797630.31,0
 01/05  01:00:00,10172196.09,11791591.8,0
 01/05  02:00:00,10172196.09,14282985.38,0
 01/05  03:00:00,10172196.09,18456681,0
 01/05  04:00:00,10172196.09,22750978.27,0
 01/05  05:00:00,10172196.09,29469881.07,0
 01/05  06:00:00,10172196.09,925205906.8,0
 01/05  07:00:00,14769099.7,840728784.8,2.68E-04
 01/05  08:00:00,501746864.7,893310929.4,5.70E-02
 01/05  09:00:00,467491840.1,781638841.4,7.81E-02
 01/05  10:00:00,334507919.5,761565457,0.1199618
 01/05  11:00:00,279421976.2,699541223,0.1199618
 01/05  12:00:00,267592313.2,641192730.6,0.1506833
 01/05  13:00:00,268354643.6,588563032.2,0.221939609
 01/05  14:00:00,301155012.4,582882747.7,0.221939609
 01/05  15:00:00,326686094.2,569390048.3,0.2118585
 01/05  16:00:00,442036933.5,490059134.8,0.119158399
 01/05  17:00:00,509602367.1,324851602.8,8.39E-02
 01/05  18:00:00,495689784.5,307088808.6,4.18E-02
 01/05  19:00:00,492570440.1,300466463.6,2.09E-02
 01/05  20:00:00,175777015.5,339370.1691,0
 01/05  21:00:00,13294952.55,7463025.875,0
 01/05  22:00:00,13294952.55,9773011.115,0
 01/05  23:00:00,12518539.94,11017706.2,0
 01/05  24:00:00,10965714.72,11978687.23,0
 01/06  01:00:00,10172196.09,15151279.47,0
 01/06  02:00:00,10172196.09,20872516.03,0
 01/06  03:00:00,10172196.09,27225459.99,0
 01/06  04:00:00,10172196.09,35042769.08,0
 01/06  05:00:00,10172196.09,50623365.3,0
 01/06  06:00:00,10172196.09,936652770,0
 01/06  07:00:00,14769099.7,854777520.4,2.68E-04
 01/06  08:00:00,501746864.7,903611490.3,5.70E-02
 01/06  09:00:00,483933818.5,758095788,7.81E-02
 01/06  10:00:00,380928190.7,690929210,0.1199618
 01/06  11:00:00,313597291.3,634493499.3,0.1199618
 01/06  12:00:00,286247497.6,568625194.7,0.1506833
 01/06  13:00:00,262210471.9,472676164.4,0.221939609
 01/06  14:00:00,262533328.3,373995766.2,0.221939609
 01/06  15:00:00,266790877.6,338579506.6,0.2118585
 01/06  16:00:00,333189519.7,294002966.6,0.119158399
 01/06  17:00:00,509602367.1,174368158.1,8.39E-02
 01/06  18:00:00,495689784.5,178637352.9,4.18E-02
 01/06  19:00:00,492570440.1,173328096.8,2.09E-02
 01/06  20:00:00,175777015.5,0,0
 01/06  21:00:00,13294952.55,0,0
 01/06  22:00:00,13294952.55,1389967.033,0
 01/06  23:00:00,12518539.94,2487444.816,0
 01/06  24:00:00,10965714.72,3192468.489,0
 01/07  01:00:00,10172196.09,3926901.242,0
 01/07  02:00:00,10172196.09,4614731.066,0
 01/07  03:00:00,10172196.09,5437911.105,0
 01/07  04:00:00,10172196.09,5840018.888,0
 01/07  05:00:00,10172196.09,6418830.682,0
 01/07  06:00:00,10172196.09,7047386.274,0
 01/07  07:00:00,10172196.09,8002141.637,0
 01/07  08:00:00,10189302.1,9193518.817,0
 01/07  09:00:00,11071659.94,10642162.57,0
 01/07  10:00:00,11071659.94,9134769.636,0
 01/07  11:00:00,11071659.94,6824453.07,0
 01/07  12:00:00,11071659.94,6627034.894,0
 01/07  13:00:00,11071659.94,6078140.463,0
 01/07  14:00:00,11071659.94,7749491.966,0
 01/07  15:00:00,11071659.94,10552238.69,0
 01/07  16:00:00,11071659.94,13882926.24,0
 01/07  17:00:00,11071659.94,16668518.8,0
 01/07  18:00:00,11071659.94,20675700.14,0
 01/07  19:00:00,10189302.1,25026234,0
 01/07  20:00:00,10189302.1,35698619.86,0
 01/07  21:00:00,10189302.1,42434462.37,0
 01/07  22:00:00,10189302.1,51784576.99,0
 01/07  23:00:00,10189302.1,61757961.8,0
 01/07  24:00:00,10189302.1,74435009.97,0
 01/08  01:00:00,10172196.09,81913019.17,0
 01/08  02:00:00,10172196.09,85543035.73,0
 01/08  03:00:00,10172196.09,82871150.88,0
 01/08  04:00:00,10172196.09,79300540.26,0
 01/08  05:00:00,10172196.09,78686875.32,0
 01/08  06:00:00,10172196.09,75511229.13,0
 01/08  07:00:00,10172196.09,82596340.28,0
 01/08  08:00:00,10189302.1,86410254.89,0
 01/08  09:00:00,10189302.1,83603775.79,0
 01/08  10:00:00,10189302.1,76655767.66,0
 01/08  11:00:00,10189302.1,67252659.48,0
 01/08  12:00:00,10189302.1,56708732.05,0
 01/08  13:00:00,10189302.1,48346134.17,0
 01/08  14:00:00,10189302.1,44087417.27,0
 01/08  15:00:00,10189302.1,45883249.68,0
 01/08  16:00:00,10189302.1,51619434.42,0
 01/08  17:00:00,10189302.1,49094271.23,0
 01/08  18:00:00,10189302.1,35410594.72,0
 01/08  19:00:00,10189302.1,31279470.01,0
 01/08  20:00:00,10189302.1,29044596.61,0
 01/08  21:00:00,10189302.1,26190894.04,0
 01/08  22:00:00,10189302.1,23614166.22,0
 01/08  23:00:00,10189302.1,21577764.31,0
 01/08  24:00:00,10189302.1,19490841.81,0
 01/09  01:00:00,10172196.09,18504350.37,0
