Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,January Ground Temperature,18,16,20,Uniform,Float,1
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,February Ground Temperature,18,16,20,Uniform,Float,2
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,March Ground Temperature,18,16,20,Uniform,Float,3
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,April Ground Temperature,18,16,20,Uniform,Float,4
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,May Ground Temperature,18,16,20,Uniform,Float,5
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,June Ground Temperature,18,16,20,Uniform,Float,6
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,July Ground Temperature,18,16,20,Uniform,Float,7
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,August Ground Temperature,18,16,20,Uniform,Float,8
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,September Ground Temperature,18,16,20,Uniform,Float,9
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,October Ground Temperature,18,16,20,Uniform,Float,10
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,November Ground Temperature,18,16,20,Uniform,Float,11
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,December Ground Temperature,18,16,20,Uniform,Float,12
Site:GroundReflectance,Site:GroundReflectance,January Ground Reflectance,0.2,0.13,0.26,Uniform,Float,13
Site:GroundReflectance,Site:GroundReflectance,February Ground Reflectance,0.2,0.13,0.26,Uniform,Float,14
Site:GroundReflectance,Site:GroundReflectance,March Ground Reflectance,0.2,0.13,0.26,Uniform,Float,15
Site:GroundReflectance,Site:GroundReflectance,April Ground Reflectance,0.2,0.13,0.26,Uniform,Float,16
Site:GroundReflectance,Site:GroundReflectance,May Ground Reflectance,0.2,0.13,0.26,Uniform,Float,17
Site:GroundReflectance,Site:GroundReflectance,June Ground Reflectance,0.2,0.13,0.26,Uniform,Float,18
Site:GroundReflectance,Site:GroundReflectance,July Ground Reflectance,0.2,0.13,0.26,Uniform,Float,19
Site:GroundReflectance,Site:GroundReflectance,August Ground Reflectance,0.2,0.13,0.26,Uniform,Float,20
Site:GroundReflectance,Site:GroundReflectance,September Ground Reflectance,0.2,0.13,0.26,Uniform,Float,21
Site:GroundReflectance,Site:GroundReflectance,October Ground Reflectance,0.2,0.13,0.26,Uniform,Float,22
Site:GroundReflectance,Site:GroundReflectance,November Ground Reflectance,0.2,0.13,0.26,Uniform,Float,23
Site:GroundReflectance,Site:GroundReflectance,December Ground Reflectance,0.2,0.13,0.26,Uniform,Float,24
WindowMaterial:Glazing,2,Solar Transmittance at Normal Incidence,0.837,0.7057584,0.925,Uniform,Float,25
WindowMaterial:Glazing,2,Visible Transmittance at Normal Incidence,0.898,0.7571936,0.919,Uniform,Float,28
WindowMaterial:Glazing,2,Front Side Infrared Hemispherical Emissivity,0.84,0.708288,0.971712,Uniform,Float,31
WindowMaterial:Glazing,2,Back Side Infrared Hemispherical Emissivity,0.84,0.708288,0.971712,Uniform,Float,32
WindowMaterial:Glazing,2,Conductivity,0.9,0.213965001,1.586034999,Uniform,Float,33
Material,Floor/Roof Screed_0.05,Conductivity,0.41,0.173699056,0.646300944,Uniform,Float,34
Material,Floor/Roof Screed_0.05,Density,1200,929.7437882,1470.256212,Uniform,Float,35
Material,Floor/Roof Screed_0.05,Specific Heat,840,753.3794193,926.6205807,Uniform,Float,36
Material,Floor/Roof Screed_0.05,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,37
Material,Floor/Roof Screed_0.05,Solar Absorptance,0.73,0.632,0.828,Uniform,Float,38
Material,Floor/Roof Screed_0.05,Visible Absorptance,0.73,0.632,0.828,Uniform,Float,39
Material,Cast Concrete_0.15,Conductivity,1.13,0.97285039,1.28714961,Uniform,Float,40
Material,Cast Concrete_0.15,Density,2000,1921.949027,2078.050973,Uniform,Float,41
Material,Cast Concrete_0.15,Specific Heat,1000,951.8074529,1048.192547,Uniform,Float,42
Material,Cast Concrete_0.15,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,43
Material,Cast Concrete_0.15,Solar Absorptance,0.6,0.5216,0.6784,Uniform,Float,44
Material,Cast Concrete_0.15,Visible Absorptance,0.6,0.5216,0.6784,Uniform,Float,45
Material,Cast Concrete (Dense)_0.1,Conductivity,1.4,1.24285039,1.55714961,Uniform,Float,46
Material,Cast Concrete (Dense)_0.1,Density,2100,2021.949027,2178.050973,Uniform,Float,47
Material,Cast Concrete (Dense)_0.1,Specific Heat,840,791.8074529,888.1925471,Uniform,Float,48
Material,Cast Concrete (Dense)_0.1,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,49
Material,Cast Concrete (Dense)_0.1,Solar Absorptance,0.6,0.5216,0.6784,Uniform,Float,50
Material,Cast Concrete (Dense)_0.1,Visible Absorptance,0.6,0.5216,0.6784,Uniform,Float,51
Material,Chipboard_0.013,Conductivity,0.15,0.134157509,0.165842491,Uniform,Float,52
Material,Chipboard_0.013,Density,800,744.174078,855.825922,Uniform,Float,53
Material,Chipboard_0.013,Specific Heat,2093,1849.327394,2336.672606,Uniform,Float,54
Material,Chipboard_0.013,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,55
Material,Chipboard_0.013,Solar Absorptance,0.78,0.682,0.878,Uniform,Float,56
Material,Chipboard_0.013,Visible Absorptance,0.78,0.682,0.878,Uniform,Float,57
Material,Cast Concrete_0.2,Conductivity,1.13,0.97285039,1.28714961,Uniform,Float,58
Material,Cast Concrete_0.2,Density,2000,1921.949027,2078.050973,Uniform,Float,59
Material,Cast Concrete_0.2,Specific Heat,1000,951.8074529,1048.192547,Uniform,Float,60
Material,Cast Concrete_0.2,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,61
Material,Cast Concrete_0.2,Solar Absorptance,0.6,0.5216,0.6784,Uniform,Float,62
Material,Cast Concrete_0.2,Visible Absorptance,0.6,0.5216,0.6784,Uniform,Float,63
Material,Standard insulation_0.0096,Conductivity,0.04,0.037006051,0.042993949,Uniform,Float,64
Material,Standard insulation_0.0096,Density,12,6.225954624,17.77404538,Uniform,Float,65
Material,Standard insulation_0.0096,Specific Heat,840,776.2716473,903.7283527,Uniform,Float,66
Material,Standard insulation_0.0096,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,67
Material,Standard insulation_0.0096,Solar Absorptance,0.7,0.602,0.798,Uniform,Float,68
Material,Standard insulation_0.0096,Visible Absorptance,0.7,0.602,0.798,Uniform,Float,69
Material,MW Stone Wool (rolls)_0.1439,Conductivity,0.04,0.038,0.042,Uniform,Float,70
Material,MW Stone Wool (rolls)_0.1439,Density,30,29.7,30.3,Uniform,Float,71
Material,MW Stone Wool (rolls)_0.1439,Specific Heat,840,735,945,Uniform,Float,72
Material,MW Stone Wool (rolls)_0.1439,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,73
Material,MW Stone Wool (rolls)_0.1439,Solar Absorptance,0.6,0.404,0.796,Uniform,Float,74
Material,MW Stone Wool (rolls)_0.1439,Visible Absorptance,0.6,0.404,0.796,Uniform,Float,75
Material,Standard insulation_0.0159,Conductivity,0.04,0.038,0.042,Uniform,Float,76
Material,Standard insulation_0.0159,Density,12,11.88,12.12,Uniform,Float,77
Material,Standard insulation_0.0159,Specific Heat,840,735,945,Uniform,Float,78
Material,Standard insulation_0.0159,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,79
Material,Standard insulation_0.0159,Solar Absorptance,0.7,0.602,0.798,Uniform,Float,80
Material,Standard insulation_0.0159,Visible Absorptance,0.7,0.602,0.798,Uniform,Float,81
Material,Plywood (Heavyweight)_0.006,Conductivity,0.15,0.1425,0.1575,Uniform,Float,82
Material,Plywood (Heavyweight)_0.006,Density,700,693,707,Uniform,Float,83
Material,Plywood (Heavyweight)_0.006,Specific Heat,1420,1242.5,1597.5,Uniform,Float,84
Material,Plywood (Heavyweight)_0.006,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,85
Material,Plywood (Heavyweight)_0.006,Solar Absorptance,0.78,0.682,0.878,Uniform,Float,86
Material,Plywood (Heavyweight)_0.006,Visible Absorptance,0.78,0.682,0.878,Uniform,Float,87
Material:NoMass,19_RVAL_2,Thermal Resistance,0.15,0.1425,0.1575,Uniform,Float,88
Material:NoMass,19_RVAL_2,Thermal Absorptance,0.9,0.8608,0.9392,Uniform,Float,89
Material:NoMass,19_RVAL_2,Solar Absorptance,0.7,0.6216,0.7784,Uniform,Float,90
Material:NoMass,19_RVAL_2,Visible Absorptance,0.7,0.6216,0.7784,Uniform,Float,91
People,People Level1:Zone14,Number of People,18.70506875,4.04029485,33.36984265,Uniform,Float,92
People,People Level1:Zone14,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,93
Lights,Level1:Zone14 General lighting,Lighting Level,797.091,750.859722,868.82919,Uniform,Float,94
Lights,Level1:Zone14 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,95
Lights,Level1:Zone14 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,96
ElectricEquipment,Level1:Zone14 Equipment 1,Design Level,294.9237,261.5973219,315.568359,Uniform,Float,97
ElectricEquipment,Level1:Zone14 Equipment 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,98
ZoneInfiltration:DesignFlowRate,Level1:Zone14 Infiltration,Design Flow Rate,0.036398,0.036396329,0.036399671,Uniform,Float,99
Lights,Level1:Zone6 General lighting,Lighting Level,749.55,706.0761,817.0095,Uniform,Float,100
Lights,Level1:Zone6 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,101
Lights,Level1:Zone6 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,102
ZoneInfiltration:DesignFlowRate,Level1:Zone6 Infiltration,Design Flow Rate,0.00838,0.008378329,0.008381671,Uniform,Float,103
Lights,Level1:Zone4 General lighting,Lighting Level,319.666,301.125372,348.43594,Uniform,Float,104
Lights,Level1:Zone4 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,105
Lights,Level1:Zone4 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,106
People,People Level1:Zone7,Number of People,48.33607666,10.44059256,86.23156076,Uniform,Float,107
People,People Level1:Zone7,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,108
Lights,Level1:Zone7 General lighting,Lighting Level,2059.776,1940.308992,2245.15584,Uniform,Float,109
Lights,Level1:Zone7 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,110
Lights,Level1:Zone7 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,111
ElectricEquipment,Level1:Zone7 Equipment 1,Design Level,762.1171,675.9978677,815.465297,Uniform,Float,112
ElectricEquipment,Level1:Zone7 Equipment 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,113
ZoneInfiltration:DesignFlowRate,Level1:Zone7 Infiltration,Design Flow Rate,0.096288,0.096286329,0.096289671,Uniform,Float,114
People,People Level1:Zone15,Number of People,8.911635,1.92491316,15.89835684,Uniform,Float,115
People,People Level1:Zone15,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,116
Lights,Level1:Zone15 General lighting,Lighting Level,1605.7,1512.5694,1750.213,Uniform,Float,117
Lights,Level1:Zone15 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,118
Lights,Level1:Zone15 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,119
ElectricEquipment,Level1:Zone15 Computing gain 1,Design Level,481.71,427.27677,515.4297,Uniform,Float,120
ElectricEquipment,Level1:Zone15 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,121
ElectricEquipment,Level1:Zone15 Equipment 2,Design Level,481.71,427.27677,515.4297,Uniform,Float,122
ElectricEquipment,Level1:Zone15 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,123
WaterUse:Equipment,DHW Level1:Zone15,Peak Flow Rate,4.96E-07,3.38E-07,7.27E-07,Uniform,Float,124
ZoneInfiltration:DesignFlowRate,Level1:Zone15 Infiltration,Design Flow Rate,0.017953,0.017951329,0.017954671,Uniform,Float,125
Lights,Level1:Zone11 General lighting,Lighting Level,181.058,170.556636,197.35322,Uniform,Float,126
Lights,Level1:Zone11 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,127
Lights,Level1:Zone11 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,128
People,People Level1Z1:Zone1,Number of People,4.9725225,1.07406486,8.87098014,Uniform,Float,129
People,People Level1Z1:Zone1,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,130
Lights,Level1Z1:Zone1 General lighting,Lighting Level,895.95,843.9849,976.5855,Uniform,Float,131
Lights,Level1Z1:Zone1 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,132
Lights,Level1Z1:Zone1 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,133
ElectricEquipment,Level1Z1:Zone1 Computing gain 1,Design Level,268.785,238.412295,287.59995,Uniform,Float,134
ElectricEquipment,Level1Z1:Zone1 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,135
ElectricEquipment,Level1Z1:Zone1 Equipment 2,Design Level,268.785,238.412295,287.59995,Uniform,Float,136
ElectricEquipment,Level1Z1:Zone1 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,137
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone1 Infiltration,Design Flow Rate,0.009731,0.009729329,0.009732671,Uniform,Float,138
People,People Level1Z1:Zone51,Number of People,18.16435112,3.923499842,32.4052024,Uniform,Float,139
People,People Level1Z1:Zone51,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,140
Lights,Level1Z1:Zone51 General lighting,Lighting Level,471.5745,444.223179,514.016205,Uniform,Float,141
Lights,Level1Z1:Zone51 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,142
Lights,Level1Z1:Zone51 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,143
ElectricEquipment,Level1Z1:Zone51 Equipment 1,Design Level,925.5436,820.9571732,990.331652,Uniform,Float,144
ElectricEquipment,Level1Z1:Zone51 Equipment 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,145
WaterUse:Equipment,DHW Level1Z1:Zone51,Peak Flow Rate,2.33E-05,1.59E-05,3.41E-05,Uniform,Float,146
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone51 Infiltration,Design Flow Rate,0.013658,0.013656329,0.013659671,Uniform,Float,147
People,People Level1Z1:Zone39,Number of People,6.0966972,1.316886595,10.8765078,Uniform,Float,148
People,People Level1Z1:Zone39,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,149
Lights,Level1Z1:Zone39 General lighting,Lighting Level,1098.504,1034.790768,1197.36936,Uniform,Float,150
Lights,Level1Z1:Zone39 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,151
Lights,Level1Z1:Zone39 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,152
ElectricEquipment,Level1Z1:Zone39 Computing gain 1,Design Level,329.5512,292.3119144,352.619784,Uniform,Float,153
ElectricEquipment,Level1Z1:Zone39 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,154
ElectricEquipment,Level1Z1:Zone39 Equipment 2,Design Level,329.5512,292.3119144,352.619784,Uniform,Float,155
ElectricEquipment,Level1Z1:Zone39 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,156
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone39 Infiltration,Design Flow Rate,0.011689,0.011687329,0.011690671,Uniform,Float,157
People,People Level1Z1:Zone9,Number of People,2.4543654,0.530142926,4.378587874,Uniform,Float,158
People,People Level1Z1:Zone9,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,159
ElectricEquipment,Level1Z1:Zone9 Computing gain 1,Design Level,132.6684,117.6768708,141.955188,Uniform,Float,160
ElectricEquipment,Level1Z1:Zone9 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,161
ElectricEquipment,Level1Z1:Zone9 Equipment 2,Design Level,132.6684,117.6768708,141.955188,Uniform,Float,162
ElectricEquipment,Level1Z1:Zone9 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,163
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone9 Infiltration,Design Flow Rate,0.004803,0.004801329,0.004804671,Uniform,Float,164
Lights,Level1Z1:Zone12 General lighting,Lighting Level,243.5875,229.459425,265.510375,Uniform,Float,165
Lights,Level1Z1:Zone12 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,166
Lights,Level1Z1:Zone12 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,167
ElectricEquipment,Level1Z1:Zone12 Equipment 1,Design Level,411.5654,365.0585098,440.374978,Uniform,Float,168
ElectricEquipment,Level1Z1:Zone12 Equipment 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,169
Lights,Level1Z1:Zone7 General lighting,Lighting Level,228.83,215.55786,249.4247,Uniform,Float,170
Lights,Level1Z1:Zone7 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,171
Lights,Level1Z1:Zone7 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,172
Lights,Level1Z1:Zone45 General lighting,Lighting Level,155.804,146.767368,169.82636,Uniform,Float,173
Lights,Level1Z1:Zone45 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,174
Lights,Level1Z1:Zone45 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,175
People,People Level1Z1:Zone47,Number of People,1.971759816,0.42590012,3.517619512,Uniform,Float,176
People,People Level1Z1:Zone47,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,177
Lights,Level1Z1:Zone47 General lighting,Lighting Level,456.275,429.81105,497.33975,Uniform,Float,178
Lights,Level1Z1:Zone47 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,179
Lights,Level1Z1:Zone47 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,180
ElectricEquipment,Level1Z1:Zone47 Equipment 1,Design Level,770.9222,683.8079914,824.886754,Uniform,Float,181
ElectricEquipment,Level1Z1:Zone47 Equipment 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,182
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone47 Infiltration,Design Flow Rate,0.003965,0.003963329,0.003966671,Uniform,Float,183
Lights,Level1Z1:Zone44 General lighting,Lighting Level,172.754,162.734268,188.30186,Uniform,Float,184
Lights,Level1Z1:Zone44 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,185
Lights,Level1Z1:Zone44 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,186
People,People Level1Z1:Zone2,Number of People,10.0135653,2.162930105,17.8642005,Uniform,Float,187
People,People Level1Z1:Zone2,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,188
Lights,Level1Z1:Zone2 General lighting,Lighting Level,1804.246,1699.599732,1966.62814,Uniform,Float,189
Lights,Level1Z1:Zone2 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,190
Lights,Level1Z1:Zone2 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,191
ElectricEquipment,Level1Z1:Zone2 Computing gain 1,Design Level,541.2738,480.1098606,579.162966,Uniform,Float,192
ElectricEquipment,Level1Z1:Zone2 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,193
ElectricEquipment,Level1Z1:Zone2 Equipment 2,Design Level,541.2738,480.1098606,579.162966,Uniform,Float,194
ElectricEquipment,Level1Z1:Zone2 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,195
WaterUse:Equipment,DHW Level1Z1:Zone2,Peak Flow Rate,5.57E-07,3.80E-07,8.16E-07,Uniform,Float,196
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone2 Infiltration,Design Flow Rate,0.019596,0.019594329,0.019597671,Uniform,Float,197
People,People Level1Z1:Zone43,Number of People,7.0987497,1.533329935,12.66416946,Uniform,Float,198
People,People Level1Z1:Zone43,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,199
Lights,Level1Z1:Zone43 General lighting,Lighting Level,1279.054,1204.868868,1394.16886,Uniform,Float,200
Lights,Level1Z1:Zone43 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,201
Lights,Level1Z1:Zone43 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,202
ElectricEquipment,Level1Z1:Zone43 Computing gain 1,Design Level,383.7162,340.3562694,410.576334,Uniform,Float,203
ElectricEquipment,Level1Z1:Zone43 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,204
ElectricEquipment,Level1Z1:Zone43 Equipment 2,Design Level,383.7162,340.3562694,410.576334,Uniform,Float,205
ElectricEquipment,Level1Z1:Zone43 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,206
WaterUse:Equipment,DHW Level1Z1:Zone43,Peak Flow Rate,3.95E-07,2.69E-07,5.79E-07,Uniform,Float,207
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone43 Infiltration,Design Flow Rate,0.01361,0.013608329,0.013611671,Uniform,Float,208
Lights,Level1Z1:Zone37 General lighting,Lighting Level,145.816,137.358672,158.93944,Uniform,Float,209
Lights,Level1Z1:Zone37 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,210
Lights,Level1Z1:Zone37 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,211
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone37 Infiltration,Design Flow Rate,0.003167,0.003165329,0.003168671,Uniform,Float,212
People,People Level1Z1:Zone36,Number of People,2.225545413,0.480717809,3.970373017,Uniform,Float,213
People,People Level1Z1:Zone36,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,214
Lights,Level1Z1:Zone36 General lighting,Lighting Level,197.924,186.444408,215.73716,Uniform,Float,215
Lights,Level1Z1:Zone36 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,216
Lights,Level1Z1:Zone36 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,217
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone36 Infiltration,Design Flow Rate,0.004299,0.004297329,0.004300671,Uniform,Float,218
People,People Level1Z1:Zone38,Number of People,7.9998588,1.727969501,14.2717481,Uniform,Float,219
People,People Level1Z1:Zone38,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,220
Lights,Level1Z1:Zone38 General lighting,Lighting Level,1441.416,1357.813872,1571.14344,Uniform,Float,221
Lights,Level1Z1:Zone38 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,222
Lights,Level1Z1:Zone38 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,223
ElectricEquipment,Level1Z1:Zone38 Computing gain 1,Design Level,432.4248,383.5607976,462.694536,Uniform,Float,224
ElectricEquipment,Level1Z1:Zone38 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,225
ElectricEquipment,Level1Z1:Zone38 Equipment 2,Design Level,432.4248,383.5607976,462.694536,Uniform,Float,226
ElectricEquipment,Level1Z1:Zone38 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,227
WaterUse:Equipment,DHW Level1Z1:Zone38,Peak Flow Rate,4.45E-07,3.03E-07,6.52E-07,Uniform,Float,228
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone38 Infiltration,Design Flow Rate,0.015338,0.015336329,0.015339671,Uniform,Float,229
People,People Level1Z1:Zone3,Number of People,6.533016,1.411131456,11.65490054,Uniform,Float,230
People,People Level1Z1:Zone3,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,231
Lights,Level1Z1:Zone3 General lighting,Lighting Level,1177.12,1108.84704,1283.0608,Uniform,Float,232
Lights,Level1Z1:Zone3 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,233
Lights,Level1Z1:Zone3 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,234
ElectricEquipment,Level1Z1:Zone3 Computing gain 1,Design Level,353.136,313.231632,377.85552,Uniform,Float,235
ElectricEquipment,Level1Z1:Zone3 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,236
ElectricEquipment,Level1Z1:Zone3 Equipment 2,Design Level,353.136,313.231632,377.85552,Uniform,Float,237
ElectricEquipment,Level1Z1:Zone3 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,238
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone3 Infiltration,Design Flow Rate,0.012785,0.012783329,0.012786671,Uniform,Float,239
People,People Level1Z1:Zone5,Number of People,5.129088,1.107883008,9.150292992,Uniform,Float,240
People,People Level1Z1:Zone5,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,241
Lights,Level1Z1:Zone5 General lighting,Lighting Level,924.16,870.55872,1007.3344,Uniform,Float,242
Lights,Level1Z1:Zone5 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,243
Lights,Level1Z1:Zone5 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,244
ElectricEquipment,Level1Z1:Zone5 Computing gain 1,Design Level,277.248,245.918976,296.65536,Uniform,Float,245
ElectricEquipment,Level1Z1:Zone5 Computing gain 1,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,246
ElectricEquipment,Level1Z1:Zone5 Equipment 2,Design Level,277.248,245.918976,296.65536,Uniform,Float,247
ElectricEquipment,Level1Z1:Zone5 Equipment 2,Fraction Radiant,0.2,0.19,0.21,Uniform,Float,248
ZoneInfiltration:DesignFlowRate,Level1Z1:Zone5 Infiltration,Design Flow Rate,0.010037,0.010035329,0.010038671,Uniform,Float,249
People,People Level1Z1:Zone6,Number of People,5.0860311,1.098582718,9.073479482,Uniform,Float,250
People,People Level1Z1:Zone6,Fraction Radiant,0.3,0.285,0.315,Uniform,Float,251
Lights,Level1Z1:Zone6 General lighting,Lighting Level,916.402,863.250684,998.87818,Uniform,Float,252
Lights,Level1Z1:Zone6 General lighting,Fraction Radiant,0.42,0.399,0.441,Uniform,Float,253
Lights,Level1Z1:Zone6 General lighting,Fraction Visible,0.18,0.171,0.189,Uniform,Float,254
