Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group
Site:GroundReflectance,Site:GroundReflectance,May Ground Reflectance,0.2,0.13,0.26,Uniform,Float,1
Site:GroundReflectance,Site:GroundReflectance,June Ground Reflectance,0.2,0.13,0.26,Uniform,Float,2
Site:GroundReflectance,Site:GroundReflectance,August Ground Reflectance,0.2,0.13,0.26,Uniform,Float,3
WindowMaterial:Glazing,2,Visible Transmittance at Normal Incidence,0.898,0.7571936,0.919,Uniform,Float,4
Material,Cast Concrete_0.15,Visible Absorptance,0.6,0.5216,0.6784,Uniform,Float,7
Material,Cast Concrete (Dense)_0.1,Visible Absorptance,0.6,0.5216,0.6784,Uniform,Float,8
Material,Chipboard_0.013,Visible Absorptance,0.78,0.682,0.878,Uniform,Float,9
Material,Standard insulation_0.0096,Visible Absorptance,0.7,0.602,0.798,Uniform,Float,10
Material,MW Stone Wool (rolls)_0.1439,Visible Absorptance,0.6,0.404,0.796,Uniform,Float,11
Material,Standard insulation_0.0159,Visible Absorptance,0.7,0.602,0.798,Uniform,Float,12
Lights,Level1:Zone14 General lighting,Lighting Level,797.091,750.859722,868.82919,Uniform,Float,13
ElectricEquipment,Level1:Zone14 Equipment 1,Design Level,294.9237,261.5973219,315.568359,Uniform,Float,14
Lights,Level1:Zone6 General lighting,Lighting Level,749.55,706.0761,817.0095,Uniform,Float,15
ElectricEquipment,Level1:Zone6 Computing gain 1,Design Level,224.865,199.455255,240.60555,Uniform,Float,16
ElectricEquipment,Level1:Zone6 Equipment 2,Design Level,224.865,199.455255,240.60555,Uniform,Float,17
Lights,Level1:Zone3 General lighting,Lighting Level,218.72,206.03424,238.4048,Uniform,Float,18
ElectricEquipment,Level1:Zone3 Computing gain 1,Design Level,65.616,58.201392,70.20912,Uniform,Float,19
ElectricEquipment,Level1:Zone3 Equipment 2,Design Level,65.616,58.201392,70.20912,Uniform,Float,20
Lights,Level1:Zone2 General lighting,Lighting Level,187.232,176.372544,204.08288,Uniform,Float,21
ElectricEquipment,Level1:Zone2 Computing gain 1,Design Level,56.1696,49.8224352,60.101472,Uniform,Float,22
ElectricEquipment,Level1:Zone2 Equipment 2,Design Level,56.1696,49.8224352,60.101472,Uniform,Float,23
Lights,Level1:Zone4 General lighting,Lighting Level,319.666,301.125372,348.43594,Uniform,Float,24
