# ID,Name,Parameter Type,Description,Search String,Value Type,Value String,Selected Value Index
P0,Site:GroundTemperature:BuildingSurface January Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface January Ground Temperature,@@tag0@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P1,Site:GroundTemperature:BuildingSurface February Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface February Ground Temperature,@@tag1@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P2,Site:GroundTemperature:BuildingSurface March Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface March Ground Temperature,@@tag2@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P3,Site:GroundTemperature:BuildingSurface April Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface April Ground Temperature,@@tag3@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P4,Site:GroundTemperature:BuildingSurface May Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface May Ground Temperature,@@tag4@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P5,Site:GroundTemperature:BuildingSurface June Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface June Ground Temperature,@@tag5@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P6,Site:GroundTemperature:BuildingSurface July Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface July Ground Temperature,@@tag6@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P7,Site:GroundTemperature:BuildingSurface August Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface August Ground Temperature,@@tag7@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P8,Site:GroundTemperature:BuildingSurface September Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface September Ground Temperature,@@tag8@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P9,Site:GroundTemperature:BuildingSurface October Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface October Ground Temperature,@@tag9@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P10,Site:GroundTemperature:BuildingSurface November Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface November Ground Temperature,@@tag10@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P11,Site:GroundTemperature:BuildingSurface December Ground Temperature,PARAMETRICS,Site:GroundTemperature:BuildingSurface - Site:GroundTemperature:BuildingSurface December Ground Temperature,@@tag11@@,DOUBLE,"{18.0, 16.0, 20.0}",0
P12,Site:GroundTemperature:Deep January Deep Ground Temperature,PARAMETRICS,Site:GroundTemperature:Deep - Site:GroundTemperature:Deep January Deep Ground Temperature,@@tag12@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P13,Site:GroundTemperature:Deep February Deep Ground Temperature,PARAMETRICS,Site:GroundTemperature:Deep - Site:GroundTemperature:Deep February Deep Ground Temperature,@@tag13@@,DOUBLE,"{14.0, 12.0, 16.0}",0
