COF,absIC
WindowMaterial:Glazing-->2-->Solar Transmittance at Normal Incidence,0.631480463
Material-->Standard insulation_0.0159-->Conductivity,0.486129869
Material-->Cast Concrete_0.2-->Conductivity,0.390531676
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->January Ground Temperature,0.360613132
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->December Ground Temperature,0.302086649
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->February Ground Temperature,0.301198716
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->November Ground Temperature,0.296139735
WindowMaterial:Glazing-->2-->Back Side Infrared Hemispherical Emissivity,0.284049619
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->March Ground Temperature,0.27790495
WindowMaterial:Glazing-->2-->Front Side Infrared Hemispherical Emissivity,0.260018244
ElectricEquipment-->Level0:Zone32 Equipment 1-->Design Level,0.254990962
Material-->Standard insulation_0.0096-->Conductivity,0.234809068
ZoneInfiltration:DesignFlowRate-->Level0:Zone32 Infiltration-->Design Flow Rate,0.22140463
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->October Ground Temperature,0.220779475
WindowMaterial:Glazing-->2-->Visible Transmittance at Normal Incidence,0.212947386
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->April Ground Temperature,0.199489333
Material-->Cast Concrete_0.2-->Thermal Absorptance,0.18944564
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->May Ground Temperature,0.157907129
Material-->Cast Concrete_0.2-->Solar Absorptance,0.15636324
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->September Ground Temperature,0.127093824
People-->People Level0:Zone32-->Number of People,0.119246279
DesignSpecification:OutdoorAir-->Level0:Zone32-->Outdoor Air Flow Air Changes per Hour,0.10188902
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->August Ground Temperature,0.079656734
Lights-->Level0:Zone32 General lighting-->Lighting Level,0.068610523
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->June Ground Temperature,0.058633078
Material-->Cast Concrete (Dense)_0.1-->Thermal Absorptance,0.054404042
Material-->Cast Concrete (Dense)_0.1-->Specific Heat,0.050166789
Material-->Cast Concrete (Dense)_0.1-->Density,0.050094064
Material-->Chipboard_0.013-->Thermal Absorptance,0.049535677
Site:GroundTemperature:BuildingSurface-->Site:GroundTemperature:BuildingSurface-->July Ground Temperature,0.047872352
Material-->Chipboard_0.013-->Density,0.04711577
Material-->Chipboard_0.013-->Specific Heat,0.046882265
WindowMaterial:Glazing-->2-->Conductivity,0.040532217
WaterUse:Equipment-->DHW Level0:Zone32-->Peak Flow Rate,0.038294247
ZoneInfiltration:DesignFlowRate-->Level1:Zone7 Infiltration-->Design Flow Rate,0.036395565
Material-->Cast Concrete_0.2-->Density,0.036049557
Material-->Cast Concrete_0.2-->Specific Heat,0.035997425
ZoneInfiltration:DesignFlowRate-->Level0:Zone53 Infiltration-->Design Flow Rate,0.035461608
WaterUse:Equipment-->DHW Level1Z1:Zone51-->Peak Flow Rate,0.032410755
Material-->Floor/Roof Screed_0.05-->Conductivity,0.031059359
Material-->Chipboard_0.013-->Visible Absorptance,0.030722042
People-->People Level1:Zone7-->Number of People,0.030210166
People-->People Level0:Zone53-->Number of People,0.029039076
ElectricEquipment-->Level0:Zone32 Equipment 1-->Fraction Radiant,0.027550365
Material-->Chipboard_0.013-->Solar Absorptance,0.025537338
Material-->Standard insulation_0.0096-->Thermal Absorptance,0.025503849
Lights-->Level0:Zone32 General lighting-->Fraction Radiant,0.022116408
ZoneInfiltration:DesignFlowRate-->Level1AddedPart:Zone1 Infiltration-->Design Flow Rate,0.021522599
People-->People Level0:Zone32-->Fraction Radiant,0.021219434
Material-->Cast Concrete (Dense)_0.1-->Solar Absorptance,0.020220346
Material-->Cast Concrete_0.15-->Thermal Absorptance,0.019505183
People-->People Level1AddedPart:Zone1-->Number of People,0.019281248
Material-->MW Stone Wool (rolls)_0.1439-->Conductivity,0.018005015
Material-->Cast Concrete_0.15-->Solar Absorptance,0.017933758
ZoneInfiltration:DesignFlowRate-->Level2:Zone35 Infiltration-->Design Flow Rate,0.017272472
Lights-->Level1:Zone7 General lighting-->Lighting Level,0.01642814
Site:GroundReflectance-->Site:GroundReflectance-->April Ground Reflectance,0.016305761
Site:GroundReflectance-->Site:GroundReflectance-->May Ground Reflectance,0.01626724
Site:GroundReflectance-->Site:GroundReflectance-->March Ground Reflectance,0.015844002
Material-->Cast Concrete_0.15-->Conductivity,0.015404813
DesignSpecification:OutdoorAir-->Level0:Zone53-->Outdoor Air Flow Air Changes per Hour,0.015278595
Material-->Cast Concrete (Dense)_0.1-->Conductivity,0.015053592
ElectricEquipment-->Level1Z1:Zone51 Equipment 1-->Design Level,0.014248796
DesignSpecification:OutdoorAir-->Level1:Zone7-->Outdoor Air Flow Air Changes per Hour,0.01416137
ElectricEquipment-->Level1AddedPart:Zone1 Equipment 1-->Design Level,0.013983165
Material-->Standard insulation_0.0159-->Thermal Absorptance,0.013914404
Material-->Cast Concrete (Dense)_0.1-->Visible Absorptance,0.013848236
DesignSpecification:OutdoorAir-->Level1AddedPart:Zone1-->Outdoor Air Flow Air Changes per Hour,0.012806262
People-->People Level0AddedPart:Zone3-->Number of People,0.012744371
People-->People Level1AddedPart:Zone13-->Number of People,0.012104793
ElectricEquipment-->Level2:Zone4 Equipment 1-->Design Level,0.01131235
ElectricEquipment-->Level2:Zone6 Equipment 1-->Design Level,0.011182382
ElectricEquipment-->Level2:Zone12 Equipment 1-->Design Level,0.010605932
ElectricEquipment-->Level0AddedPart:Zone3 Equipment 2-->Design Level,0.010543494
ElectricEquipment-->Level0AddedPart:Zone3 Computing gain 1-->Design Level,0.010543494
Site:GroundReflectance-->Site:GroundReflectance-->February Ground Reflectance,0.010105207
ElectricEquipment-->Level1AddedPart:Zone13 Equipment 2-->Design Level,0.009946779
ElectricEquipment-->Level1AddedPart:Zone13 Computing gain 1-->Design Level,0.009946779
People-->People Level1:Zone14-->Number of People,0.009927379
Lights-->Level0:Zone32 General lighting-->Fraction Visible,0.009850132
ElectricEquipment-->Level2:Zone7 Equipment 1-->Design Level,0.009539232
ElectricEquipment-->Level2:Zone5 Equipment 1-->Design Level,0.009463707
ZoneInfiltration:DesignFlowRate-->Level1:Zone14 Infiltration-->Design Flow Rate,0.009458593
