COF,absIC
ElectricEquipment-->Level0:Zone32 Equipment 1-->Design Level,0.44269286
WindowMaterial:Glazing-->2-->Visible Transmittance at Normal Incidence,0.366627595
Lights-->Level0:Zone32 General lighting-->Lighting Level,0.096782558
Material-->Chipboard_0.013-->Visible Absorptance,0.065680792
Lights-->Level1:Zone7 General lighting-->Lighting Level,0.037928264
Lights-->Level1:Zone15 General lighting-->Lighting Level,0.034621917
Material-->Cast Concrete (Dense)_0.1-->Visible Absorptance,0.030371536
ElectricEquipment-->Level1AddedPart:Zone1 Equipment 1-->Design Level,0.025975216
ElectricEquipment-->Level1Z1:Zone51 Equipment 1-->Design Level,0.025566007
ElectricEquipment-->Level1AddedPart:Zone13 Equipment 2-->Design Level,0.025150995
ElectricEquipment-->Level1AddedPart:Zone13 Computing gain 1-->Design Level,0.025150995
ElectricEquipment-->Level0AddedPart:Zone3 Equipment 2-->Design Level,0.022271369
ElectricEquipment-->Level0AddedPart:Zone3 Computing gain 1-->Design Level,0.022271369
Lights-->Level0:Zone1 General lighting-->Lighting Level,0.019878756
ElectricEquipment-->Level1:Zone7 Equipment 1-->Design Level,0.019369533
ElectricEquipment-->Level2:Zone12 Equipment 1-->Design Level,0.019347945
ElectricEquipment-->Level2:Zone6 Equipment 1-->Design Level,0.019347945
Lights-->Level0:Zone38 General lighting-->Lighting Level,0.017996975
ElectricEquipment-->Level2:Zone29 Equipment 1-->Design Level,0.017280001
Lights-->Level1:Zone14 General lighting-->Lighting Level,0.017186443
ElectricEquipment-->Level2:Zone4 Equipment 1-->Design Level,0.016449977
Lights-->Level1:Zone6 General lighting-->Lighting Level,0.016161583
Lights-->Level0AddedPart:Zone3 General lighting-->Lighting Level,0.016124109
ElectricEquipment-->Level2:Zone7 Equipment 1-->Design Level,0.016027729
Lights-->Level0:Zone20 General lighting-->Lighting Level,0.015879837
ElectricEquipment-->Level2:Zone5 Equipment 1-->Design Level,0.015772246
ElectricEquipment-->Level1Z1:Zone47 Equipment 1-->Design Level,0.015492618
ElectricEquipment-->Level2:Zone3 Equipment 1-->Design Level,0.014971858
Material-->Cast Concrete_0.15-->Visible Absorptance,0.014924445
Lights-->Level0:Zone30 General lighting-->Lighting Level,0.014426322
Lights-->Level0:Zone21 General lighting-->Lighting Level,0.014327185
Lights-->Level1AddedPart:Zone13 General lighting-->Lighting Level,0.014031376
ElectricEquipment-->Level0:Zone1 Equipment 1-->Design Level,0.013789464
ElectricEquipment-->Level1Z1:Zone2 Equipment 2-->Design Level,0.013756459
ElectricEquipment-->Level1Z1:Zone2 Computing gain 1-->Design Level,0.013756459
ElectricEquipment-->Level2:Zone18 Equipment 1-->Design Level,0.013566172
ElectricEquipment-->Level0:Zone4 Equipment 1-->Design Level,0.013438024
ElectricEquipment-->Level2:Zone1 Equipment 1-->Design Level,0.01328929
ElectricEquipment-->Level0:Zone53 Equipment 1-->Design Level,0.013132007
Lights-->Level0:Zone35 General lighting-->Lighting Level,0.012913524
ElectricEquipment-->Level0:Zone9 Equipment 1-->Design Level,0.012773021
Lights-->Level0:Zone4 General lighting-->Lighting Level,0.0125731
ElectricEquipment-->Level0:Zone21 Equipment 1-->Design Level,0.012529765
ElectricEquipment-->Level0:Zone38 Equipment 1-->Design Level,0.012484223
Lights-->Level0:Zone23 General lighting-->Lighting Level,0.012478724
ElectricEquipment-->Level0:Zone24 Equipment 1-->Design Level,0.012270603
ElectricEquipment-->Level1:Zone15 Computing gain 1-->Design Level,0.01224259
ElectricEquipment-->Level1:Zone15 Equipment 2-->Design Level,0.01224259
ElectricEquipment-->Level0:Zone13 Equipment 1-->Design Level,0.011822587
ElectricEquipment-->Level0:Zone6 Equipment 1-->Design Level,0.011409199
