COF,absIC
WaterUse:Equipment-->DHW Level0:Zone32-->Peak Flow Rate,0.6159635196447163
WaterUse:Equipment-->DHW Level1Z1:Zone51-->Peak Flow Rate,0.5213296419358056
WaterUse:Equipment-->DHW Level2:Zone29-->Peak Flow Rate,0.04666285587225541
WaterUse:Equipment-->DHW Level1AddedPart:Zone13-->Peak Flow Rate,0.04446859258480021
WaterUse:Equipment-->DHW Level0AddedPart:Zone3-->Peak Flow Rate,0.03947617052695343
WaterUse:Equipment-->DHW Level2:Zone12-->Peak Flow Rate,0.026820693253749528
WaterUse:Equipment-->DHW Level2:Zone6-->Peak Flow Rate,0.026820693253749528
WaterUse:Equipment-->DHW Level1Z1:Zone2-->Peak Flow Rate,0.024452007837707866
WaterUse:Equipment-->DHW Level2:Zone4-->Peak Flow Rate,0.022901954581777746
WaterUse:Equipment-->DHW Level2:Zone7-->Peak Flow Rate,0.022257744550252652
WaterUse:Equipment-->DHW Level1:Zone15-->Peak Flow Rate,0.02186858574449112
WaterUse:Equipment-->DHW Level2:Zone5-->Peak Flow Rate,0.021868585744491117
WaterUse:Equipment-->DHW Level2:Zone3-->Peak Flow Rate,0.020707691294322535
WaterUse:Equipment-->DHW Level1Z1:Zone38-->Peak Flow Rate,0.019587111392742686
WaterUse:Equipment-->DHW Level0:Zone1-->Peak Flow Rate,0.019285163651274015
WaterUse:Equipment-->DHW Level2:Zone18-->Peak Flow Rate,0.01885569029692411
WaterUse:Equipment-->DHW Level0:Zone4-->Peak Flow Rate,0.01864095361974892
WaterUse:Equipment-->DHW Level2:Zone1-->Peak Flow Rate,0.01833900587828062
WaterUse:Equipment-->DHW Level0:Zone9-->Peak Flow Rate,0.017822321459637733
WaterUse:Equipment-->DHW Level0:Zone38-->Peak Flow Rate,0.01730563704099425
WaterUse:Equipment-->DHW Level1Z1:Zone43-->Peak Flow Rate,0.01730563704099425
WaterUse:Equipment-->DHW Level0:Zone21-->Peak Flow Rate,0.017305637040994234
WaterUse:Equipment-->DHW Level0:Zone13-->Peak Flow Rate,0.016487004880882443
WaterUse:Equipment-->DHW Level1AddedPart:Zone1-->Peak Flow Rate,0.016057531526532182
WaterUse:Equipment-->DHW Level1Z1:Zone3-->Peak Flow Rate,0.015842794849357356
WaterUse:Equipment-->DHW Level0:Zone6-->Peak Flow Rate,0.015755583785064125
WaterUse:Equipment-->DHW Level0:Zone20-->Peak Flow Rate,0.015326110430713856
WaterUse:Equipment-->DHW Level1Z1:Zone39-->Peak Flow Rate,0.01493695162495233
WaterUse:Equipment-->DHW Level0:Zone30-->Peak Flow Rate,0.014507478270602064
WaterUse:Equipment-->DHW Level1Z1:Zone8-->Peak Flow Rate,0.013172161691847388
WaterUse:Equipment-->DHW Level1Z1:Zone13-->Peak Flow Rate,0.012527951660322292
WaterUse:Equipment-->DHW Level1Z1:Zone10-->Peak Flow Rate,0.012527951660322289
