#,Job_ID,Reserved,DistrictHeating
0,Job1801,,253297.87
1,Job1804,,253327.60
2,Job1814,,253293.80
3,Job1811,,253296.10
4,Job1816,,253272.53
5,Job1807,,253303.28
6,Job1818,,253296.01
7,Job1813,,253261.24
8,Job1805,,253247.80
9,Job1815,,253298.42
10,Job1806,,253288.99
11,Job1820,,253318.12
12,Job1810,,253296.10
13,Job1817,,253330.53
14,Job1809,,253299.31
15,Job1812,,253352.48
16,Job1803,,253296.10
17,Job1819,,253296.20
18,Job1808,,253292.91
19,Job1802,,253296.10
20,Job1821,,253277.52
21,Job1822,,253296.03
22,Job1823,,253296.17
23,Job1824,,253296.10
24,Job1830,,253296.04
25,Job1825,,253296.10
26,Job1826,,253298.11
27,Job1827,,253293.03
28,Job1828,,253295.94
29,Job1829,,253296.28
30,Job1831,,253296.17
31,Job1833,,253296.10
32,Job1832,,253296.10
33,Job1837,,253296.13
34,Job1835,,253294.87
35,Job1836,,253296.07
36,Job1834,,253298.12
37,Job1839,,253296.18
38,Job1840,,253308.94
39,Job1838,,253296.03
40,Job1841,,253285.13
41,Job1843,,253296.15
42,Job1842,,253296.06
43,Job1861,,253259.71
44,Job1862,,253295.88
45,Job1863,,253296.33
46,Job1844,,253296.10
47,Job1847,,253294.31
48,Job1845,,253296.10
49,Job1846,,253297.27
50,Job1848,,253296.00
51,Job1851,,253296.15
52,Job1853,,253296.10
53,Job1849,,253296.20
54,Job1852,,253296.10
55,Job1850,,253296.06
56,Job1860,,253341.45
57,Job1857,,253296.12
58,Job1856,,253296.08
59,Job1855,,253295.38
60,Job1854,,253297.28
61,Job1858,,253296.03
62,Job1859,,253296.18
63,Job1864,,253296.10
64,Job1865,,253296.10
65,Job1866,,253297.93
66,Job1867,,253293.28
67,Job1868,,253295.88
68,Job1869,,253296.33
69,Job1870,,253296.01
70,Job1872,,253296.10
71,Job1873,,253296.10
72,Job1876,,253296.06
73,Job1874,,253297.76
74,Job1875,,253295.08
75,Job1878,,253296.02
76,Job1871,,253296.19
77,Job1882,,253296.07
78,Job1877,,253296.14
79,Job1883,,253296.14
80,Job1879,,253296.18
81,Job1880,,253308.67
82,Job1881,,253285.16
83,Job1884,,253296.10
84,Job1885,,253296.10
85,Job1886,,253297.27
86,Job1887,,253294.31
87,Job1888,,253296.02
88,Job1889,,253296.19
89,Job1890,,253296.07
90,Job1891,,253296.14
91,Job1892,,253296.10
92,Job1893,,253296.10
93,Job1897,,253296.12
94,Job1896,,253296.09
95,Job1894,,253297.27
96,Job1895,,253295.39
97,Job1899,,253296.18
98,Job1900,,253317.95
99,Job1903,,253296.16
100,Job1898,,253296.03
101,Job1902,,253296.04
102,Job1901,,253277.27
103,Job1904,,253296.10
104,Job1905,,253296.10
105,Job1906,,253298.13
106,Job1910,,253296.05
107,Job1907,,253292.98
