#,Job_ID,Reserved,Electricity
0,Job1204,,284914.64
1,Job1211,,284950.61
2,Job1216,,284860.57
3,Job1238,,284836.83
4,Job1206,,284950.61
5,Job1201,,284950.61
6,Job1231,,284998.27
7,Job1208,,284950.61
8,Job1207,,284950.61
9,Job1226,,284950.61
10,Job1202,,284950.61
11,Job1209,,284950.61
12,Job1236,,284950.61
13,Job1215,,284950.61
14,Job1212,,284860.57
15,Job1228,,284950.61
16,Job1223,,284950.61
17,Job1205,,285006.44
18,Job1218,,284950.61
19,Job1214,,284950.61
20,Job1234,,284950.61
21,Job1232,,284950.61
22,Job1227,,284950.61
23,Job1225,,284950.61
24,Job1235,,284950.61
25,Job1210,,284950.61
26,Job1203,,284950.61
27,Job1233,,284950.61
28,Job1230,,284919.90
29,Job1229,,284950.61
30,Job1213,,285006.39
31,Job1221,,284950.61
32,Job1217,,285006.39
33,Job1239,,285021.09
34,Job1224,,284950.61
35,Job1237,,284950.61
36,Job1222,,284950.61
37,Job1219,,284950.61
38,Job1220,,284950.61
39,Job1240,,284950.61
40,Job1241,,284950.61
41,Job1242,,284836.83
42,Job1247,,284950.61
43,Job1243,,285021.09
44,Job1244,,284950.61
45,Job1248,,284950.61
46,Job1246,,284950.61
47,Job1245,,284950.61
48,Job1257,,285003.58
49,Job1255,,284950.61
50,Job1253,,284950.61
51,Job1258,,284950.61
52,Job1256,,284916.48
53,Job1249,,284950.61
54,Job1259,,284950.61
55,Job1251,,284950.61
56,Job1254,,284950.61
57,Job1252,,284950.61
58,Job1250,,284950.61
59,Job1260,,284950.61
60,Job1262,,284950.61
61,Job1267,,284950.61
62,Job1264,,284685.77
63,Job1265,,285114.67
64,Job1269,,284950.61
65,Job1263,,284950.61
66,Job1272,,284950.61
67,Job1268,,284950.61
68,Job1266,,284950.61
69,Job1276,,284950.61
70,Job1261,,284950.61
71,Job1271,,284950.61
72,Job1270,,284950.61
73,Job1274,,284950.61
74,Job1278,,284920.29
75,Job1273,,284950.61
76,Job1275,,284950.61
77,Job1279,,284997.67
78,Job1277,,284950.61
79,Job1280,,284950.61
80,Job1281,,284950.61
81,Job1282,,284950.61
82,Job1284,,284950.61
83,Job1283,,284950.61
84,Job1286,,284696.68
85,Job1287,,285107.91
86,Job1291,,284950.61
87,Job1290,,284950.61
88,Job1285,,284950.61
89,Job1293,,284950.61
90,Job1292,,284950.61
91,Job1288,,284950.61
92,Job1289,,284950.61
93,Job1298,,284950.61
94,Job1297,,284950.61
95,Job1295,,284950.61
96,Job1299,,284950.61
97,Job1294,,284950.61
98,Job1296,,284950.61
99,Job1300,,284941.40
100,Job1301,,284964.90
101,Job1302,,284950.61
102,Job1303,,284950.61
103,Job1305,,284950.61
104,Job1304,,284950.61
105,Job1307,,284950.61
106,Job1306,,284950.61
107,Job1312,,284950.61
108,Job1309,,284960.82
109,Job1311,,284950.61
110,Job1310,,284950.61
111,Job1308,,284934.13
112,Job1313,,284950.61
113,Job1317,,284950.61
114,Job1315,,284950.61
115,Job1318,,284950.61
116,Job1314,,284950.61
117,Job1316,,284950.61
118,Job1319,,284950.61
119,Job1320,,284937.33
120,Job1321,,284971.22
121,Job1322,,284950.61
122,Job1325,,284950.61
123,Job1323,,284950.61
124,Job1324,,284950.61
125,Job1326,,284950.61
126,Job1331,,284950.61
127,Job1327,,284950.61
