#,Job_ID,Reserved,NaturalGas
0,Job1204,,0.00
1,Job1211,,0.00
2,Job1216,,0.00
3,Job1238,,0.00
4,Job1206,,0.00
5,Job1201,,0.00
6,Job1231,,0.00
7,Job1208,,0.00
8,Job1207,,0.00
9,Job1226,,0.00
10,Job1202,,0.00
11,Job1209,,0.00
12,Job1236,,0.00
13,Job1215,,0.00
14,Job1212,,0.00
15,Job1228,,0.00
16,Job1223,,0.00
17,Job1205,,0.00
18,Job1218,,0.00
19,Job1214,,0.00
20,Job1234,,0.00
21,Job1232,,0.00
22,Job1227,,0.00
23,Job1225,,0.00
24,Job1235,,0.00
25,Job1210,,0.00
26,Job1203,,0.00
27,Job1233,,0.00
28,Job1230,,0.00
29,Job1229,,0.00
30,Job1213,,0.00
31,Job1221,,0.00
32,Job1217,,0.00
33,Job1239,,0.00
34,Job1224,,0.00
35,Job1237,,0.00
36,Job1222,,0.00
37,Job1219,,0.00
38,Job1220,,0.00
39,Job1240,,0.00
40,Job1241,,0.00
41,Job1242,,0.00
42,Job1247,,0.00
43,Job1243,,0.00
44,Job1244,,0.00
45,Job1248,,0.00
46,Job1246,,0.00
47,Job1245,,0.00
48,Job1257,,0.00
49,Job1255,,0.00
50,Job1253,,0.00
51,Job1258,,0.00
52,Job1256,,0.00
53,Job1249,,0.00
54,Job1259,,0.00
55,Job1251,,0.00
56,Job1254,,0.00
57,Job1252,,0.00
58,Job1250,,0.00
59,Job1260,,0.00
60,Job1262,,0.00
61,Job1267,,0.00
62,Job1264,,0.00
63,Job1265,,0.00
64,Job1269,,0.00
65,Job1263,,0.00
66,Job1272,,0.00
67,Job1268,,0.00
68,Job1266,,0.00
69,Job1276,,0.00
70,Job1261,,0.00
71,Job1271,,0.00
72,Job1270,,0.00
73,Job1274,,0.00
74,Job1278,,0.00
75,Job1273,,0.00
76,Job1275,,0.00
77,Job1279,,0.00
78,Job1277,,0.00
79,Job1280,,0.00
80,Job1281,,0.00
81,Job1282,,0.00
82,Job1284,,0.00
83,Job1283,,0.00
84,Job1286,,0.00
85,Job1287,,0.00
86,Job1291,,0.00
87,Job1290,,0.00
88,Job1285,,0.00
89,Job1293,,0.00
90,Job1292,,0.00
91,Job1288,,0.00
92,Job1289,,0.00
93,Job1298,,0.00
94,Job1297,,0.00
95,Job1295,,0.00
96,Job1299,,0.00
97,Job1294,,0.00
98,Job1296,,0.00
99,Job1300,,0.00
100,Job1301,,0.00
101,Job1302,,0.00
102,Job1303,,0.00
103,Job1305,,0.00
104,Job1304,,0.00
105,Job1307,,0.00
106,Job1306,,0.00
107,Job1312,,0.00
108,Job1309,,0.00
109,Job1311,,0.00
110,Job1310,,0.00
111,Job1308,,0.00
112,Job1313,,0.00
113,Job1317,,0.00
114,Job1315,,0.00
115,Job1318,,0.00
116,Job1314,,0.00
117,Job1316,,0.00
118,Job1319,,0.00
119,Job1320,,0.00
120,Job1321,,0.00
121,Job1322,,0.00
122,Job1325,,0.00
123,Job1323,,0.00
124,Job1324,,0.00
125,Job1326,,0.00
126,Job1331,,0.00
127,Job1327,,0.00
128,Job1328,,0.00
129,Job1330,,0.00
130,Job1334,,0.00
131,Job1329,,0.00
132,Job1333,,0.00
133,Job1336,,0.00
134,Job1339,,0.00
135,Job1337,,0.00
136,Job1335,,0.00
137,Job1332,,0.00
138,Job1338,,0.00
139,Job1359,,0.00
140,Job1340,,0.00
141,Job1341,,0.00
142,Job1342,,0.00
143,Job1343,,0.00
144,Job1344,,0.00
145,Job1345,,0.00
146,Job1346,,0.00
147,Job1348,,0.00
148,Job1353,,0.00
149,Job1347,,0.00
150,Job1352,,0.00
151,Job1355,,0.00
152,Job1350,,0.00
153,Job1356,,0.00
154,Job1357,,0.00
155,Job1354,,0.00
156,Job1351,,0.00
157,Job1349,,0.00
158,Job1358,,0.00
159,Job1360,,0.00
160,Job1361,,0.00
161,Job1362,,0.00
162,Job1364,,0.00
163,Job1363,,0.00
164,Job1366,,0.00
165,Job1365,,0.00
166,Job1367,,0.00
167,Job1368,,0.00
168,Job1369,,0.00
169,Job1370,,0.00
170,Job1375,,0.00
171,Job1376,,0.00
172,Job1374,,0.00
173,Job1373,,0.00
174,Job1377,,0.00
175,Job1371,,0.00
176,Job1372,,0.00
177,Job1378,,0.00
178,Job1379,,0.00
179,Job1380,,0.00
180,Job1381,,0.00
181,Job1401,,0.00
182,Job1382,,0.00
183,Job1383,,0.00
184,Job1384,,0.00
185,Job1386,,0.00
186,Job1385,,0.00
187,Job1387,,0.00
188,Job1389,,0.00
189,Job1388,,0.00
190,Job1390,,0.00
191,Job1393,,0.00
192,Job1396,,0.00
193,Job1392,,0.00
194,Job1394,,0.00
195,Job1395,,0.00
196,Job1398,,0.00
197,Job1399,,0.00
198,Job1391,,0.00
199,Job1397,,0.00
200,Job1400,,0.00
201,Job1403,,0.00
202,Job1402,,0.00
203,Job1421,,0.00
204,Job1404,,0.00
205,Job1405,,0.00
206,Job1407,,0.00
207,Job1406,,0.00
208,Job1408,,0.00
209,Job1409,,0.00
210,Job1410,,0.00
211,Job1411,,0.00
212,Job1412,,0.00
213,Job1420,,0.00
214,Job1413,,0.00
215,Job1414,,0.00
216,Job1419,,0.00
217,Job1415,,0.00
218,Job1418,,0.00
219,Job1416,,0.00
220,Job1417,,0.00
221,Job1422,,0.00
222,Job1423,,0.00
223,Job1424,,0.00
224,Job1425,,0.00
225,Job1427,,0.00
226,Job1428,,0.00
227,Job1429,,0.00
228,Job1430,,0.00
229,Job1432,,0.00
230,Job1426,,0.00
231,Job1431,,0.00
232,Job1433,,0.00
233,Job1439,,0.00
234,Job1435,,0.00
235,Job1437,,0.00
236,Job1434,,0.00
237,Job1440,,0.00
238,Job1438,,0.00
239,Job1436,,0.00
240,Job1441,,0.00
241,Job1442,,0.00
242,Job1443,,0.00
243,Job1444,,0.00
244,Job1463,,0.00
245,Job1445,,0.00
246,Job1464,,0.00
247,Job1447,,0.00
248,Job1446,,0.00
249,Job1448,,0.00
250,Job1449,,0.00
251,Job1450,,0.00
252,Job1451,,0.00
253,Job1454,,0.00
254,Job1455,,0.00
255,Job1452,,0.00
256,Job1453,,0.00
257,Job1456,,0.00
258,Job1459,,0.00
259,Job1458,,0.00
260,Job1460,,0.00
261,Job1457,,0.00
262,Job1461,,0.00
263,Job1462,,0.00
264,Job1465,,0.00
265,Job1466,,0.00
266,Job1467,,0.00
267,Job1468,,0.00
268,Job1469,,0.00
269,Job1470,,0.00
270,Job1471,,0.00
271,Job1472,,0.00
272,Job1474,,0.00
273,Job1473,,0.00
274,Job1476,,0.00
275,Job1475,,0.00
276,Job1477,,0.00
277,Job1478,,0.00
278,Job1479,,0.00
279,Job1480,,0.00
280,Job1481,,0.00
281,Job1482,,0.00
282,Job1483,,0.00
283,Job1484,,0.00
284,Job1485,,0.00
285,Job1486,,0.00
286,Job1487,,0.00
287,Job1505,,0.00
288,Job1506,,0.00
289,Job1488,,0.00
290,Job1507,,0.00
291,Job1489,,0.00
292,Job1490,,0.00
293,Job1491,,0.00
294,Job1492,,0.00
295,Job1493,,0.00
296,Job1495,,0.00
297,Job1500,,0.00
298,Job1502,,0.00
299,Job1503,,0.00
300,Job1499,,0.00
301,Job1496,,0.00
302,Job1497,,0.00
303,Job1501,,0.00
304,Job1494,,0.00
305,Job1498,,0.00
306,Job1504,,0.00
307,Job1508,,0.00
308,Job1509,,0.00
309,Job1511,,0.00
310,Job1510,,0.00
311,Job1512,,0.00
312,Job1513,,0.00
313,Job1515,,0.00
314,Job1514,,0.00
315,Job1518,,0.00
316,Job1516,,0.00
317,Job1517,,0.00
318,Job1519,,0.00
319,Job1520,,0.00
320,Job1521,,0.00
321,Job1522,,0.00
322,Job1523,,0.00
323,Job1525,,0.00
324,Job1524,,0.00
325,Job1527,,0.00
326,Job1526,,0.00
327,Job1528,,0.00
328,Job1529,,0.00
329,Job1530,,0.00
330,Job1531,,0.00
331,Job1533,,0.00
332,Job1532,,0.00
333,Job1534,,0.00
334,Job1535,,0.00
335,Job1537,,0.00
336,Job1536,,0.00
337,Job1538,,0.00
338,Job1539,,0.00
339,Job1540,,0.00
340,Job1542,,0.00
341,Job1543,,0.00
342,Job1541,,0.00
343,Job1544,,0.00
344,Job1546,,0.00
345,Job1545,,0.00
346,Job1547,,0.00
347,Job1548,,0.00
348,Job1549,,0.00
349,Job1550,,0.00
350,Job1551,,0.00
