Class,Object,Field,Default,Minimum,Maximum,Type,Group
Site:Location,Building (01-01:31-12) (01-01:31-12),Latitude,53.43,48.087,58.773,Float,G001
Site:Location,Building (01-01:31-12) (01-01:31-12),Longitude,-6.25,-6.875,-5.625,Float,G002
Site:Location,Building (01-01:31-12) (01-01:31-12),Elevation,85,76.5,93.5,Float,G003
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,January Ground Temperature,18,16.2,19.8,Float,G004
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,February Ground Temperature,18,16.2,19.8,Float,G005
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,March Ground Temperature,18,16.2,19.8,Float,G006
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,April Ground Temperature,18,16.2,19.8,Float,G007
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,May Ground Temperature,18,16.2,19.8,Float,G008
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,June Ground Temperature,18,16.2,19.8,Float,G009
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,July Ground Temperature,18,16.2,19.8,Float,G010
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,August Ground Temperature,18,16.2,19.8,Float,G011
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,September Ground Temperature,18,16.2,19.8,Float,G012
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,October Ground Temperature,18,16.2,19.8,Float,G013
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,November Ground Temperature,18,16.2,19.8,Float,G014
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,December Ground Temperature,18,16.2,19.8,Float,G015
Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,January Deep Ground Temperature,14,12.6,15.4,Float,G016
Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,February Deep Ground Temperature,14,12.6,15.4,Float,G017
Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,March Deep Ground Temperature,14,12.6,15.4,Float,G018
Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,April Deep Ground Temperature,14,12.6,15.4,Float,G019
