,Class,Object,Field,Default,Minimum,Maximum,Type,Group
3,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,January Ground Temperature,18.0,16.0,20.0,Float,G004
4,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,February Ground Temperature,18.0,16.0,20.0,Float,G005
5,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,March Ground Temperature,18.0,16.0,20.0,Float,G006
6,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,April Ground Temperature,18.0,16.0,20.0,Float,G007
7,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,May Ground Temperature,18.0,16.0,20.0,Float,G008
8,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,June Ground Temperature,18.0,16.0,20.0,Float,G009
9,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,July Ground Temperature,18.0,16.0,20.0,Float,G010
10,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,August Ground Temperature,18.0,16.0,20.0,Float,G011
11,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,September Ground Temperature,18.0,16.0,20.0,Float,G012
12,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,October Ground Temperature,18.0,16.0,20.0,Float,G013
13,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,November Ground Temperature,18.0,16.0,20.0,Float,G014
14,Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,December Ground Temperature,18.0,16.0,20.0,Float,G015
15,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,January Deep Ground Temperature,14.0,12.0,16.0,Float,G016
16,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,February Deep Ground Temperature,14.0,12.0,16.0,Float,G017
17,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,March Deep Ground Temperature,14.0,12.0,16.0,Float,G018
18,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,April Deep Ground Temperature,14.0,12.0,16.0,Float,G019
19,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,May Deep Ground Temperature,14.0,12.0,16.0,Float,G020
20,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,June Deep Ground Temperature,14.0,12.0,16.0,Float,G021
21,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,July Deep Ground Temperature,14.0,12.0,16.0,Float,G022
22,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,August Deep Ground Temperature,14.0,12.0,16.0,Float,G023
23,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,September Deep Ground Temperature,14.0,12.0,16.0,Float,G024
24,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,October Deep Ground Temperature,14.0,12.0,16.0,Float,G025
25,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,November Deep Ground Temperature,14.0,12.0,16.0,Float,G026
26,Site:GroundTemperature:Deep,Site:GroundTemperature:Deep,December Deep Ground Temperature,14.0,12.0,16.0,Float,G027
27,Site:GroundTemperature:Shallow,Site:GroundTemperature:Shallow,January Surface Ground Temperature,14.0,12.0,16.0,Float,G028
28,Site:GroundTemperature:Shallow,Site:GroundTemperature:Shallow,February Surface Ground Temperature,14.0,12.0,16.0,Float,G029
29,Site:GroundTemperature:Shallow,Site:GroundTemperature:Shallow,March Surface Ground Temperature,14.0,12.0,16.0,Float,G030
30,Site:GroundTemperature:Shallow,Site:GroundTemperature:Shallow,April Surface Ground Temperature,14.0,12.0,16.0,Float,G031
